sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,JAMBI,MERANGIN,,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,1.0,Tidak dipupuk dan tidak menggunakan herbisida,bahan kimia,input,bahan kimia,Formic acid,rp/botol,6000,6000,botol,,,,,,,,,0.0,2.03934096,3.7305079199999995,4.953970367999999,5.386294799999999,5.424737139,5.500628648999999,5.683818816,5.90736672,5.945755500000001,6.021507059999999,6.095897820000001,6.16893642,6.049827576,6.0147130094999985,5.755928400000001,5.385421727999999,5.385421727999999,5.211121877999999,5.102805599999999,4.9159669500000005,4.737678030468748
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,bahan tanam /bibit,input,bahan tanam /bibit,Padi atau Gabah,rp/kg,4000,4000,kg,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rerata umur sadap dimulai pada 9/10 tahun,bahan tanam /bibit,input,bahan tanam /bibit,Karet lokal,rp/batang,1000,1000,batang,550.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sistem penanaman tugal,peralatan,input,peralatan,Pisau sadap,rp/unit,20000,20000,unit,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,Jumlah hari sadap 144-160 hari/tahun,peralatan,input,peralatan,Mangkok penampung (latex cup),rp/unit,200,200,unit,,,,,,,,,,100.0,150.0,180.0,190.0,190.0,190.0,195.0,200.0,200.0,200.0,200.0,200.0,195.0,195.0,190.0,180.0,180.0,180.0,180.0,180.0,180.0
,,,,,,,,,,,,karet dibawa dengan ember dan dikumpulkan di bak penampung dari kayu,peralatan,input,peralatan,Ember karet,rp/unit,10000,10000,pair,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/unit,25000,25000,unit,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/unit,50000,50000,unit,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Bak penampung,rp/unit,50000,50000,unit,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tebas,rp/HOK,55000,55000,HOK,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tumbang,rp/HOK,55000,55000,HOK,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,bakar,rp/HOK,55000,55000,HOK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,pancang,rp/HOK,55000,55000,HOK,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman padi,input,tenaga kerja padi,Tugal dan tanam padi,rp/HOK,55000,55000,HOK,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Penyiangan,rp/HOK,55000,55000,HOK,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Bird + pig waching,rp/HOK,55000,55000,HOK,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Pemanenan,rp/HOK,55000,55000,HOK,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Perontokan + Pengeringan,rp/HOK,55000,55000,HOK,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,Pembuatan lubang + pagar,rp/HOK,55000,55000,HOK,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,Tanam,rp/HOK,55000,55000,HOK,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
