sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KAYU MANIS AF,JAMBI,JAMBI,BATANGHARI DAN MUARA JAMBI,2018,MINERAL,SMALLHOLDER,7,2,13700,1,,peralatan,input,peralatan,Cangkul (hoe),Rp/unit,25000,25000,unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Kapak (axe),Rp/unit,30000,30000,unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Golok (machete),Rp/unit,50000,50000,unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit (sickle),Rp/unit,20000,20000,unit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Karung Goni (sack),RP/unit,2000,2000,unit,0,0,4.347826087,43.47826087,104.3478261,121.7391304,78.26086957,43.47826087,26.08695652,0,0,0,0,0,0,0,4.347826087,43.47826087,104.3478261,121.7391304,78.26086957,43.47826087,26.08695652,0,0,0,0,0,0,0
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Cabai ,Rp/packs,120000,120000,kg/ha,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Kayu manis (Cinnamomum burmanii),Rp/stump,2500,2500,sprouts/ha,1667,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Kopi (Coffea robusta),Rp/stump,3500,3500,stumps/ha,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,slashing and tree cutting,rp/hok,70000,70000,ps-d/ha,30,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,first burning ,rp/hok,70000,70000,ps-d/ha,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
