sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KEBUN CAMPUR AF,PAPUA BARAT,PAPUA BARAT,PALA,2018,MINERAL,SMALLHOLDER,7,2,13700,1,,pupuk,input,pupuk,urea,Rp/kg,3000,3000,kg/ha,1.56,3.12,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,kandang,Rp/kg,5000,5000,kg/ha,400,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,Rp/kg,3000,3000,kg/ha,15.6,15.6,39,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,46.8,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,formic acid,Rp/botol,7000,7000,botol,,,,,,0,0.299,0.637,0.949,1.482,2.197,4.68,2.99,3.614,5.369,7.345,6.955,9.542,9.997,12.155,11.596,12.064,15.509,17.823,17.823,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,130000,130000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,170000,170000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,Rp/HOK,120000,100000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tumbang,Rp/HOK,300000,250000,HOK,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Cincang,Rp/HOK,120000,100000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Pancang,Rp/HOK,120000,120000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman ubi,input,tenaga kerja ubi,Pembuatan Stek,Rp/HOK,120000,120000,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman ubi,input,tenaga kerja ubi,Guludan,Rp/HOK,120000,120000,HOK,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman ubi,input,tenaga kerja ubi,Lubang dan tanam ,Rp/HOK,120000,120000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan ubi,input,tenaga kerja ubi,Pemangkasan,Rp/HOK,120000,120000,HOK,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan ubi,input,tenaga kerja ubi,Pemupukan,Rp/HOK,120000,120000,HOK,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan ubi,input,tenaga kerja ubi,pembersihan lahan,Rp/HOK,120000,120000,HOK,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan ubi,input,tenaga kerja ubi,panen ubi,Rp/HOK,120000,120000,HOK,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman pala,input,tenaga kerja pala,Pembuatan lubang +tanam+ pagar,Rp/HOK,120000,120000,HOK,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan pala,input,tenaga kerja pala,Pemupukan,Rp/HOK,120000,120000,HOK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
,,,,,,,,,,,,,tk pemeliharaan pala,input,tenaga kerja pala,Penyiangan,Rp/HOK,120000,120000,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,,,,,
,,,,,,,,,,,,,tk pemeliharaan pala,input,tenaga kerja pala,Pruning,Rp/HOK,120000,120000,HOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan pala,input,tenaga kerja pala,panen pala,Rp/HOK,120000,120000,HOK,,,,,,,4.485,9.555,14.235,22.23,32.955,70.2,44.85,54.21,80.535,110.175,104.325,143.13,149.955,182.325,173.94,180.96,232.635,267.345,267.345,,,,,
,,,,,,,,,,,,,tk penanaman durian,input,tenaga kerja durian,Pembuatan lubang +tanam,Rp/HOK,120000,120000,HOK,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan durian,input,tenaga kerja durian,Penyiangan,Rp/HOK,120000,120000,HOK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,
,,,,,,,,,,,,,tk pemeliharaan durian,input,tenaga kerja durian,Pemupukan,Rp/HOK,120000,120000,HOK,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,
,,,,,,,,,,,,,sampingan,output,sampingan,Ubi Jalar,Rp/kg,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,Biji Pala,Rp/kg,45000,45000,kg,0,0,0,0,0,0,29.9,63.7,94.9,148.2,219.7,468,299,361.4,536.9,734.5,695.5,954.2,999.7,1215.5,1159.6,1206.4,1550.9,1782.3,1782.3,,,,,
,,,,,,,,,,,,,utama,output,utama,Durian,Rp/kg,10000,10000,Buah,,,0,0,46.2962963,115.7407407,185.1851852,277.7777778,324.0740741,393.5185185,925.9259259,532.4074074,601.8518519,648.1481481,694.4444444,740.7407407,787.037037,833.3333333,879.6296296,925.9259259,995.3703704,1064.814815,1111.111111,1157.407407,1157.407407,,,,,
