sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KOPI AF,JAWA TENGAH,BANJARNEGARA,KEC Karang kobar,2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,organik,rp/Kg,250,250,Kg,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750,8750
,,,,,,,,,,,,,peralatan,input,peralatan,Ajir,rp/pieces,250,250,pieces,1900,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,150000,150000,pieces,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/pieces,80000,80000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Gunting pangkas,rp/pieces,25000,25000,pieces,2,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Pisau,rp/pieces,15000,15000,pieces,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Pengupas kopi basah,rp/pieces,2500000,2500000,pieces,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Gerobak sorong,rp/pieces,35000,35000,pieces,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Seed (coffee-robusta),rp/stem,3000,3000,stem,1750,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kalbasia (sengon),rp/stem,2000,2000,stem,150,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Land Clearing/Preparation ,rp/pers-day,50000,50000,pers-day,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting: lubang dan pengajiran,rp/pers-day,50000,50000,pers-day,16.5,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting: tanam,rp/pers-day,50000,50000,pers-day,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pembentukan cabang,rp/pers-day,50000,50000,pers-day,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer 1,rp/pers-day,50000,50000,pers-day,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Weeding 1,rp/pers-day,50000,50000,pers-day,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Weeding 2,rp/pers-day,50000,50000,pers-day,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pemeliharaan cabang,rp/pers-day,50000,50000,pers-day,,,,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Harvesting,rp/pers-day,50000,50000,pers-day,,,,17.5,32.08333333,43.75,43.75,52.5,52.5,55.41666667,55.41666667,61.25,61.25,67.08333333,67.08333333,72.91666667,72.91666667,67.08333333,67.08333333,61.25,42.875,46.95833333,46.95833333,46.95833333,51.04166667,51.04166667,46.95833333,46.95833333,42.875,42.875
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Post harvesting (kupas),rp/pers-day,50000,50000,pers-day,,,,2.1,3.85,5.25,5.25,6.3,6.3,6.65,6.65,7.35,7.35,8.05,8.05,8.75,8.75,8.05,8.05,7.35,5.145,5.635,5.635,5.635,6.125,6.125,5.635,5.635,5.145,5.145
