sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KOPI AF,JAMBI,JAMBI,"kerinci, desa tuo",2018,MINERAL,SMALLHOLDER,7,2,13700,1,tidak dipupuk,pupuk,input,pupuk,Urea,Rp/kg,3000,3000,kg,,,,,,,100,,,,,,,100,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,SP ,Rp/kg,5400,2500,kg,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,KCL,Rp/kg,3000,3000,kg,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,Rp/kg,10000,3000,kg,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Basmilang,Rp/liter,45000,45000,liter,,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Padi,Rp/kg,6000,6000,Kg,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kopi,Rp/btng,200,200,batang,3000,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,Rp/unit,5000,5000,unit,,2.4,30,30,18,18,18,30,30,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,50000,50000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,25000,25000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,225000,225000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tebas,Rp/HOK,70000,70000,HOK,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
