sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,
AGROFORESTRI,LOGGING AF,GORONTALO,GORONTALO,,2014,MINERAL,LARGE SCALE,7.1,2.8,11830,1500,Based on 30 years estimation using Gorontalo wage rate at 2010 price,skenario lahan,skenario lahan,skenario lahan,lahan,,,,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,45000
,,,,,,,,,,,,"Domestic price refers to Indonesia log price (domestic), sawlogs (Meranti) as in TTM ITTO report  ",tradable input,input,peralatan,Fuel,Rp/lt,5281.445315,5825.467208,ltr,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,12327.16971,
,,,,,,,,,,,,"International timber price: Malaysia log prices (Commodity price data, WB) ",tradable input,input,peralatan,Lubricants,Rp/lt,16440.83684,16440.83684,ltr,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,280.162948,
,,,,,,,,,,,,Average annual cutting: 1500ha,tradable input,input,peralatan,Grease,Rp/kg,34974.7,34974.7,kg,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,23.03562017,
,,,,,,,,,,,,Commercial standing stock: 18 m3/ha,tradable input,input,peralatan,Spare parts,Rp/package,712145905,712145905,package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,,,,,,,,,,,source: http://groups.yahoo.com/group/rimbawan-interaktif/message/6847,tradable input,input,peralatan,Office supplies,Rp/package,36940258,36940258,package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Heavy machinary,Rp/package,30460278650,1.35E+11,package/10 years,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Tools,Rp/package,349501200,1550474704,package/5 years,1,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,factor labor,input,tenaga kerja admin,Administrative / managerial,Rp/ps-year,594000000,594000000,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Surveyor,Rp/ha,792357.0279,792357.0279,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Scalling and debarking,Rp/m3,14122.00545,14122.00545,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Felling & Bucking,Rp/m3,8568.389533,8568.389533,m3,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,
