sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,SALAK AF,JAWA TENGAH,BANJARNEGARA,KEC BANJARWANGU,2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,organic,rp/Kg,400,400,Kg,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
,,,,,,,,,,,,,pupuk,input,pupuk,petroganic,rp/Kg,500,500,Kg,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
,,,,,,,,,,,,,pupuk,input,pupuk,Urea,rp/Kg,1800,1800,Kg,105,105,105,420,420,420,420,420,420,420,420,420,420,420,420,105,105,105,420,420,420,420,420,420,420,420,420,420,420,420
,,,,,,,,,,,,,pupuk,input,pupuk,SP36,rp/Kg,2000,2000,Kg,15,15,15,60,60,60,60,60,60,60,60,60,60,60,60,15,15,15,60,60,60,60,60,60,60,60,60,60,60,60
,,,,,,,,,,,,,pupuk,input,pupuk,KCL,rp/Kg,2400,2400,Kg,50,50,50,200,200,200,200,200,200,200,200,200,200,200,200,50,50,50,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,,,,pupuk,input,pupuk,Bunga jantan,rp/Kg,15000,15000,Kg,,,,50,50,50,50,50,50,50,50,50,50,50,50,0,0,0,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,peralatan,input,peralatan,Ajir,rp/pieces,250,250,pieces,1600,160,,,,,,,,,,,,,,1600,160,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit,rp/pieces,50000,50000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,100000,100000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Pisau cangkok,rp/pieces,75000,75000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Gunting,rp/pieces,25000,25000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul kecil (kored),rp/pieces,60000,60000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Keranjang,rp/pieces,200000,200000,pieces,1,,,1,,,1,,,1,,,1,,,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,550000,550000,pieces,1,,,,,1,,,,,1,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Seed (salak pondoh),rp/stem,4500,4500,stem,1400,140,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,140,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kalbasia (sengon),rp/stem,1000,1000,stem,200,20,0,0,0,0,0,0,0,0,0,0,0,0,0,200,20,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Land Clearing/Preparation ,rp/pers-day,60000,60000,pers-day,75,,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting: lubang dan pengajiran,rp/pers-day,60000,60000,pers-day,30,3,,,,,,,,,,,,,,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting: tanam,rp/pers-day,60000,60000,pers-day,16,1.6,,,,,,,,,,,,,,16,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Weeding,rp/pers-day,60000,60000,pers-day,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25,50,50,50,50,50,25,25,25,25,25,25,25,25,25,25
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pruning (pemangkasan),rp/pers-day,60000,60000,pers-day,0,0,14,42,42,42,42,42,42,42,42,42,42,42,42,0,0,14,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizing (pemupukan),rp/pers-day,60000,60000,pers-day,2.513333333,12,8,8,4,4,4,4,4,4,4,4,4,4,4,2.513333333,12,8,8,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pollination (penyerbukan),rp/pers-day,60000,60000,pers-day,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja, Pemeliharaan cabang (sengon),rp/pers-day,60000,60000,pers-day,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Harvesting (salak),rp/pers-day,60000,60000,pers-day,0,0,26.88,51.282,59.238,67.194,80.64,94.086,100.806,94.086,80.64,67.194,59.238,51.282,39.084,0,0,26.88,51.282,59.238,67.194,80.64,94.086,100.806,94.086,80.64,67.194,59.238,51.282,39.084
,,,,,,,,,,,,,sampingan,output,sampingan,Sengon,rp/tree,350000,350000,tree,,,,,,,10.66666667,,,64,,,,,,0,0,0,0,0,0,10.66666667,0,0,64,0,0,0,0,0
,,,,,,,,,,,,,utama,output,utama,Salak,rp/kg,2500,2500,kg,0,0,4480,8547,9873,11199,13440,15681,16801,15681,13440,11199,9873,8547,6514,0,0,4480,8547,9873,11199,13440,15681,16801,15681,13440,11199,9873,8547,6514
