sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KELAPA AF COKLAT,GORONTALO,POHUWATU,RANDANGAN,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,1.0,Tidak dipupuk,pupuk,input,pupuk,Kandang,rp/kg,100,100,kg,625.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,pupuk,input,pupuk,Urea,rp/kg,1600,1600,kg,300.0,300.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,,,,,,,,,,,"Dikelola turun-temurun, biasanya umur 4 tahun sudah menghasilkan",pupuk,input,pupuk,Garam,rp/kg,2400,2400,kg,300.0,300.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,,,,,,,,,,,"Kopra kering 75% : Rp 8,5 jt/ton",bahan kimia,input,bahan kimia,Puradan,rp/kg,48000,48000,liter,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jenis bibit yang digunakan: kelapa dalam,bahan kimia,input,bahan kimia,Kaptor,Rp/liter,85000,85000,liter,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,"Pembuatan parit = 15 m/hari, 1 orang. Ada 2 parit",bahan kimia,input,bahan kimia,Gandasil,rp/bungkus,7500,7500,liter,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,Penanaman = 5 batang per hari,bahan tanam /bibit,input,bahan tanam /bibit,Kelapa dalam,rp/batang,3000,3000,batang,125.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Penyemprotan dilakukan sebelum masa produksi, setahun 2x @ 2 lt roundup, setengah hari, 1 orang",bahan tanam /bibit,input,bahan tanam /bibit,Coklat,rp/batang,5000,5000,batang,1100.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pemanenan dilakukan 4x setahun @ 2 orang slm 10 hari mendapatkan 4000 butir (1 HOK = 200 butir),peralatan,input,peralatan,Sabit,rp/unit,30000,30000,unit,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,Informasi lain= tiap batang menghasilkan 10-30 butir tiap panen (atau 40-120 butir/tahun),peralatan,input,peralatan,Cangkul,rp/unit,25000,25000,unit,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,
