sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,JAMBI,TANJUNG JABUNG BARAT,,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,1.0,Tidak dipupuk dan tidak menggunakan herbisida,bahan kimia,input,bahan kimia,Round Up,rp/liter,80000,80000,liter/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,bahan kimia,input,bahan kimia,Formic acid,rp/botol,8000,8000,botol,,,,,,,,,2.2236000000000002,5.61,8.9301,8.9301,8.9301,12.75,12.75,11.985,11.985,11.985,11.985,11.985,11.985,11.985,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046,8.9046
,,,,,,,,,,,,Rerata umur sadap dimulai pada 9/10 tahun,bahan tanam /bibit,input,bahan tanam /bibit,Padi atau Gabah,rp/kg,6000,6000,kg,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sistem penanaman tugal,bahan tanam /bibit,input,bahan tanam /bibit,Karet lokal,rp/batang,1000,1000,batang,550.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Jumlah hari sadap 144-160 hari/tahun,peralatan,input,peralatan,Pisau sadap,rp/unit,20000,20000,unit,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,Karet dibawa dengan ember dan dikumpulkan di bak penampung dari kayu,peralatan,input,peralatan,Mangkok penampung (latex cup),rp/unit,200,200,unit,,,,,,,,,200.0,350.0,427.0,427.0,427.0,446.5,437.0,427.0,418.0,408.0,399.0,389.0,380.0,370.0,361.0,351.0,342.0,332.0,323.0,304.0,285.0,266.0
,,,,,,,,,,,,,peralatan,input,peralatan,Ember karet,rp/unit,10000,10000,pair,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/unit,25000,25000,unit,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/unit,50000,50000,unit,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Bak penampung,rp/unit,50000,50000,unit,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
