sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,GORONTALO,GORONTALO,,2011.0,MINERAL,SMALLHOLDER,7.8,2.8,9084.0,2.0,Tahun pertama ditanami padi ladang,pupuk,input,pupuk,Urea,rp/kg,1500,2000.0,kg,199.8,199.8,199.8,199.8,199.8,499.5,499.5,499.5,499.5,499.5,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,Bibit lokal/tidak diketahui asal usulnya,pupuk,input,pupuk,NPK,rp/kg,3000,4000.0,kg,399.6,399.6,399.6,399.6,399.6,499.5,499.5,499.5,499.5,499.5,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,1000.35,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0,270.0
,,,,,,,,,,,,"Penggunaan pupuk yang umum : Urea, NPK, dan Borate",bahan kimia,input,bahan kimia,Round up,rp/l,80000,80000.0,liter,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Padi atau Gabah,rp/kg,4000,4000.0,kg,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Kelapa Sawit,rp/bibit,15000,15000.0,bibit,135.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Dodos,rp/unit,150000,150000.0,units,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Egreg,rp/unit,225000,225000.0,units,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Angkong,rp/unit,300000,300000.0,units,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,rp/unit,250000,250000.0,units,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/unit,50000,50000.0,units,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,rp/HOK,60000,60000.0,HOK,133.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Pembuatan lubang dan pagar,rp/HOK,60000,60000.0,HOK,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Tanam,rp/HOK,60000,60000.0,HOK,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
