sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,SUMATERA SELATAN,OKI,-,2020,GAMBUT,CROP,7.41,2.4,14544,1,,pupuk,input,pupuk,Urea,Rp/kg,3500,3500,kg,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,pupuk,input,pupuk,Posca,Rp/kg,3000,3000,kg,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,pupuk,input,pupuk,Sp,Rp/kg,2600,2600,kg,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,gramoxone,Rp/kg,70000,70000,kg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Tronton,Rp/kg,180000,180000,kg,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,bibit,input,bibit,benih,Rp/kg,400000,400000,kantong,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,400000,400000,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,75000,75000,unit,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
,,,,,,,,,,,,,peralatan,input,peralatan,Otok,Rp/unit,1200000,1200000,unit,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Persiapan Lahan,Rp/HOK,100000,100000,HOK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pembuatan parit,Rp/HOK,100000,100000,HOK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pemeliharaan parit,Rp/HOK,100000,100000,HOK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Penanaman (Tugal dan tanam),Rp/HOK,100000,100000,HOK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Penyiangan/penyemprotan,Rp/HOK,100000,100000,HOK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pemupukan,Rp/HOK,100000,100000,HOK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Panen,Rp/HOK,100000,100000,HOK,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pasca panen (kupas dan jemur),Rp/HOK,100000,100000,HOK,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,,,,utama,output,utama,jagung, Rp/kg,3500,3500,Kg,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
