sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,JAWA TENGAH,PURBALINGGA,"KARANG KAMBAS, PADAMARA",2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,Urea ,rp/Kg,2000,2000,Kg,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,rp/Kg,3000,3000,Kg,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,gramoxone,rp/liter,60000,60000,liter,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,fungisida,rp/can,27000,27000,can,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,acrobat,rp/sachet,10000,10000,sachet,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,insektisida,rp/can,13000,13000,can,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
,,,,,,,,,,,,,peralatan,input,peralatan,cangkul,rp/pieces,70000,70000,pieces,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit,rp/pieces,60000,60000,pieces,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,600000,600000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Ember,rp/pieces,10000,10000,pieces,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,peralatan,input,peralatan,Sack,rp/pieces,2000,2000,pieces,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5,262.5
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,benih jagung,rp/kg,60000,60000,kg,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Land Clearing/Preparation ,rp/pers-day,60000,60000,pers-day,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Seedpreparation,rp/pers-day,60000,60000,pers-day,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting ,rp/pers-day,60000,60000,pers-day,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer I,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer II,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer III,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying (herbicide)-Gramoxone,rp/pers-day,60000,60000,pers-day,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying (fungicide),rp/pers-day,60000,60000,pers-day,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying (insecticide),rp/pers-day,60000,60000,pers-day,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Harvesting,rp/pers-day,60000,60000,pers-day,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25,31.25
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Post harvesting,rp/pers-day,60000,60000,pers-day,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875,21.875
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Drying,rp/pers-day,60000,60000,pers-day,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Transportation,rp/pers-day,60000,60000,pers-day,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625,15.625
,,,,,,,,,,,,,utama,output,utama,jagung,rp/kg,2900,2900,kg,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125,13125
