sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,PAPUA,MERAUKE,KUPER,2014,MINERAL,SMALLHOLDER,7,2,11830,1,Tidak dipupuk dan tidak menggunakan herbisida,input,input,bahan kimia,Formic acid,Rp/botol,7000,7000,botol,,,,,,,,,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,input,input,bahan tanam/bibit,Karet ,Rp/btng,2000,3000,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rerata umur sadap dimulai pada 9/10 tahun,input,input,peralatan,Pisau sadap,Rp/unit,76000,76000,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,Sistem penanaman tugal,input,input,peralatan,Mangkok penampung (latex cup),Rp/unit,600,600,unit,0,0,0,0,0,200,350,427.5,427.5,427.5,446.5,437,427.5,418,408.5,399,389.5,380,370.5,361,351.5,342,332.5,323,304,285,266,247,228,209
,,,,,,,,,,,,Jumlah hari sadap 144-160 hari/tahun,input,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,,,Karet dibawa dengan ember dan dikumpulkan di bak penampung dari kayu,input,input,peralatan,Cangkul,Rp/unit,130000,130000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,input,input,peralatan,Parang,Rp/unit,170000,170000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,input,input,peralatan,Bak penampung,Rp/unit,95000,95000,unit,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,input,input,tenaga kerja,Tebas,Rp/HOK,65000,60000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Tumbang,Rp/HOK,65000,60000,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Bakar,Rp/HOK,65000,60000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Pancang,Rp/HOK,65000,60000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Tugal dan tanam padi,Rp/HOK,65000,60000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan,Rp/HOK,65000,60000,HOK,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Bird + pig waching,Rp/HOK,65000,60000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Panen,Rp/HOK,65000,60000,HOK,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Perontokan + Pengeringan,Rp/HOK,65000,60000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Pembuatan lubang +tanam+ pagar,Rp/HOK,65000,60000,HOK,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan,Rp/HOK,65000,60000,HOK,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,input,input,tenaga kerja,Pruning,Rp/HOK,65000,60000,HOK,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Penyadapan,Rp/HOK,65000,60000,HOK,0,0,0,0,0,21.4965,49.21860636,75.61629952,82.42317956,86.311737,93.86303479,95.62125915,96.81434547,95.4031914,93.93562354,92.7364977,91.44293338,88.01282995,84.56191965,82.3936653,79.91662045,77.45147638,74.69246005,72.256392,67.12712306,62.07042884,57.3769099,52.7480109,47.93006032,43.4552382
,,,,,,,,,,,,,output,output,sampingan,Padi,Rp/kg,6000,6000,Kg,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,output,output,utama,Karet basah,Rp/kg,6500,6500,kg,0,0,0,0,0,429.93,984.3721272,1512.32599,1648.463591,1726.23474,1877.260696,1912.425183,1936.286909,1908.063828,1878.712471,1854.729954,1828.858668,1760.256599,1691.238393,1647.873306,1598.332409,1549.029528,1493.849201,1445.12784,1342.542461,1241.408577,1147.538198,1054.960218,958.6012064,869.104764
