sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,PAPUA,PAPUA,KAMPUNG SEED AGUNG,2018,MINERAL,SMALLHOLDER,7,2,13700,1,Tidak dipupuk dan tidak menggunakan herbisida,pupuk,input,pupuk,formic acid,Rp/botol,7000,7000,botol,,,,,,,,,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,bahan tanam /bibit,input,bahan tanam /bibit,padi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rerata umur sadap dimulai pada 9/10 tahun,bahan tanam /bibit,input,bahan tanam /bibit,karet,Rp/btng,2000,3000,batang,550,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Sistem penanaman tugal,peralatan,input,peralatan,Pisau sadap,Rp/unit,76000,76000,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,Jumlah hari sadap 144-160 hari/tahun,peralatan,input,peralatan,Mangkok penampung (latex cup),Rp/unit,600,600,unit,,,,,,,,,200,350,427,427,427,446.5,437,427,418,408,399,389,380,370,361,351,342,332,323,304,285,266
,,,,,,,,,,,,karet dibawa dengan ember dan dikumpulkan di bak penampung dari kayu,peralatan,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,130000,130000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,170000,170000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Bak penampung,Rp/unit,95000,95000,unit,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tebas,Rp/HOK,85000,85000,HOK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tumbang,Rp/HOK,85000,85000,HOK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,bakar,Rp/HOK,85000,85000,HOK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,pancang,Rp/HOK,85000,85000,HOK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk penanaman padi,input,tenaga kerja padi,penanaman,Rp/HOK,85000,85000,HOK,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,penyiangan,Rp/HOK,85000,85000,HOK,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,bird and pig waching,Rp/HOK,85000,85000,HOK,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,pemanenan,Rp/HOK,85000,85000,HOK,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,pengeringan,Rp/HOK,85000,85000,HOK,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,pembuatan lubang,Rp/HOK,85000,85000,HOK,29,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,penanaman,Rp/HOK,85000,85000,HOK,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tk pemeliharaan karet,input,tenaga kerja karet,penyiangan,Rp/HOK,85000,85000,HOK,21,21,21,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,tk pemeliharaan karet,input,tenaga kerja karet,pruning,Rp/HOK,85000,85000,HOK,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan karet,input,tenaga kerja karet,penyadapan,Rp/HOK,85000,85000,HOK,0,0,0,0,0,15.174,34.74254567,53.37621143,58.18106792,60.925932,66.25625985,67.4973594,68.33953798,67.34342922,66.30749897,65.4610572,64.54795298,62.1267035,59.69076681,58.16023433,56.41173208,54.67163038,52.72408945,51.004512,47.38385157,43.81442036,40.50134817,37.23389005,33.83298375,30.67428579
,,,,,,,,,,,,,sampingan,output,sampingan,padi,Rp/kg,6000,6000,kg,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,sampingan,output,sampingan,kayu karet,Rp/m3,300000,350000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
