sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,PAPUA,PAPUA,ARSO,2018,MINERAL,SMALLHOLDER,7.1,2.1,13700,1,Tahun pertama ditanami padi ladang,pupuk,input,pupuk,Urea,Rp/kg,1500,2000,kg,199.8,199.8,199.8,199.8,199.8,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Bibit lokal/tidak diketahui asal usulnya,pupuk,input,pupuk,NPK,Rp/kg,3000,4000,kg,399.6,399.6,399.6,399.6,399.6,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,270,270,270,270,270,270,270,270,270,270
,,,,,,,,,,,,"Penggunaan pupuk yang umum : Urea, NPK, dan Borate",bahan kimia,input,bahan kimia,Roundup,Rp/l,80000,80000,liter,2,2,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kelapa Sawit,Rp/bibit,15000,15000,seedlings,135,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Dodos,Rp/unit,150000,150000,units,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Egreg,Rp/unit,225000,225000,units,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Angkong,Rp/unit,300000,300000,units,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,250000,250000,units,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,50000,50000,units,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,Rp/HOK,85000,85000,HOK,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Pembuatan lubang + pagar,Rp/HOK,85000,85000,HOK,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Tanam,Rp/HOK,85000,85000,HOK,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pembersihan piringan,Rp/HOK,85000,85000,HOK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pruning,Rp/HOK,85000,85000,HOK,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Penyemprotan,Rp/HOK,85000,85000,HOK,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pemupukan,Rp/HOK,85000,85000,HOK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,tk pemanenan sawit,input,tenaga kerja sawit,panen sawit,Rp/HOK,120000,120000,HOK,,,24,24,24,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital privat,capital expenditure,rp,1,1,Rp,0,0,152692.3077,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-272692.3077
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital sosial,capital expenditure,rp,1,1,Rp,0,0,152692.3077,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-272692.3077
,,,,,,,,,,,,,sampingan,output,sampingan,Beras,Rp/kg,6000,6000,kg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,FFB,Rp/kg,1100,1438.144013,kg,0,0,5820.1,7306.4,8691.7,9976,11159.3,12241.6,13222.9,14103.2,14882.5,15560.8,16138.1,16614.4,16989.7,17264,17437.3,17509.6,17480.9,17351.2,17120.5,16788.8,16356.1,15822.4,15187.7,14452,13615.3,12677.6,11638.9,10499.2
