sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,GORONTALO,POHUWATU,RANDANGAN,2014,MINERAL,SMALLHOLDER,7,3,11830,1,Jenis bibit yang digunakan: kelapa dalam,input,input,pupuk,Kandang,Rp/kg,100,100,kg,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Pembuatan parit = 15 m/hari, 1 orang. Ada 2 parit",input,input,pupuk,Urea,Rp/kg,1600,1600,kg,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
,,,,,,,,,,,,Penanaman = 5 batang per hari,input,input,bahan kimia,Garam,Rp/kg,400,400,kg,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
,,,,,,,,,,,,"Penyemprotan dilakukan sebelum masa produksi, setahun 2x @ 2 lt roundup, setengah hari, 1 orang",input,input,bahan tanam/bibit,Kelapa dalam,Rp/btng,3000,3000,batang,125,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pemanenan dilakukan 4x setahun @ 2 orang slm 10 hari mendapatkan 4000 butir (1 HOK = 200 butir),input,input,peralatan,Sabit,Rp/unit,30000,30000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,Informasi lain= tiap batang menghasilkan 10-30 butir tiap panen (atau 40-120 butir/tahun),input,input,peralatan,Cangkul,Rp/unit,25000,25000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,Transport ke langkau= 1 hok per 4000 butir,input,input,tenaga kerja,tebas+tebang,Rp/HOK,60000,60000,HOK,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,dari 4000 butir dihasilkan 300 kw kopra 75%,input,input,tenaga kerja,bakar,Rp/HOK,60000,60000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Rata-rata produksi kelapa dalam adalah 2700-4500 butir kelapa setara 0.8-1.2 ton kopra/ha/th.,input,input,tenaga kerja,Lubang+pupuk dasar,Rp/HOK,60000,60000,HOK,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25,9.25
,,,,,,,,,,,,"Dengan penggunaan bibit unggul komposit dapat meningkat mjd 6750 butir kelapa setara 1,5 ton/kopra/ha/th ",input,input,tenaga kerja,Tanam,Rp/HOK,60000,60000,HOK,1.25,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Dengan pemeliharaan semi intensif produksi dapat mencapai 2,25 ton kopra/ha/th",input,input,tenaga kerja,Penyiangan,Rp/HOK,60000,60000,HOK,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,Sources: Supandi. 2004. Prospek dan arah pengembangan Agribisnis kelapa. PSE. Deptan.,input,input,tenaga kerja,Pembersihan Pelepah,Rp/HOK,60000,60000,HOK,,,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875,4.6875
,,,,,,,,,,,,,input,input,tenaga kerja,Pemanenan,Rp/HOK,60000,60000,HOK,,,,,,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333,5.208333333
,,,,,,,,,,,,,input,input,tenaga kerja,Transport ke langkau,Rp/HOK,60000,60000,HOK,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,,,,input,input,tenaga kerja,Pemisahan serabut,Rp/HOK,60000,60000,HOK,,,,0,0,1.75,1.75,1.75,1.75,1.75,2.5,2.5,2.5,2.5,2.5,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25,6.25
,,,,,,,,,,,,,input,input,tenaga kerja,Pembelahan+cungkil,Rp/HOK,60000,60000,HOK,,,,0,0,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5,12.5
,,,,,,,,,,,,,input,input,tenaga kerja,Pemanggangan,Rp/HOK,60000,60000,HOK,,,,0,0,0.2625,0.2625,0.2625,0.2625,0.2625,0.375,0.375,0.375,0.375,0.375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
,,,,,,,,,,,,,output,output,utama,Kopra kering 75%,Rp/kg,5500,5500,kg,,,,0,0,700,700,700,700,700,1000,1000,1000,1000,1000,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
