sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KENTANG,JAWA TENGAH,BANJARNEGARA,KEC BATUR,2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,organic,rp/sack,30000,30000,sack,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
,,,,,,,,,,,,,pupuk,input,pupuk,SP36,rp/Kg,3000,3000,Kg,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
,,,,,,,,,,,,,pupuk,input,pupuk,urea,rp/Kg,2200,2200,Kg,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,,,,pupuk,input,pupuk,KCL,rp/sack,2200,2200,sack,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,,,,pupuk,input,pupuk,Perekat,rp/liter,80000,80000,liter,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,pupuk,input,pupuk,cair daun 1,rp/sachet,140000,140000,sachet,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,pupuk,input,pupuk,cair daun 2,rp/kg,70000,70000,kg,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
,,,,,,,,,,,,,pupuk,input,pupuk,buah,rp/kg,200000,200000,kg,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8,13.8
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbicide ,rp/liter,30000,30000,liter,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbicide (gol),rp/liter,1000000,1000000,liter,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pesticide (kontak),rp/liter,60000,60000,liter,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pesticide (sistemik),rp/liter,60000,60000,liter,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,peralatan,input,peralatan,Keranjang,rp/pieces,15000,15000,pieces,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
,,,,,,,,,,,,,peralatan,input,peralatan,Ajir,rp/package,1045185,1045185,package,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,peralatan,input,peralatan,Mulsa,rp/package,579545,579545,package,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,peralatan,input,peralatan,Kantong,rp/pieces,1000,1000,pieces,300,,,300,,,300,,,300,,,300,,,300,,,300,,,300,,,300,,,300,,
,,,,,,,,,,,,,peralatan,input,peralatan,Power sprayer,rp/pieces,5000000,5000000,pieces,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Drum,rp/pieces,200000,200000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,200000,200000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul kecil,rp/pieces,50000,50000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Tambang plastik,rp/m,500,500,m,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,arit/sabit,rp/pieces,50000,50000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Terpal,rp/pieces,250000,250000,pieces,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,,2,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,bibit kentang,rp/kg,17500,17500,kg,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
