sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KOPI,PAPUA,PAPUA,JAYAWIJAYA,2018,MINERAL,SMALLHOLDER,7,2,13700,1,tidak dipupuk,bahan tanam/bibit,input,bahan tanam/bibit,Kopi,Rp/btg,1000,1000,Kg,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"produktivitas, 596 kg/ha/thn",bahan tanam/bibit,input,bahan tanam/bibit,Kayu ambas,Rp/btg,500,500,batang,3000,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,Rp/unit,1000,1000,unit,,2.4,30,30,18,18,18,30,30,12,12,12,12,12,18,18,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,450000,450000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,150000,150000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,50000,50000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Gunting pangkas,Rp/unit,35000,35000,HOK,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,linggis,Rp/unit,100000,100000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk Penyiapan lahan ,input,tenaga kerja,Penyiapan lahan ,Rp/HOK,100000,100000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk Penanaman,input,tenaga kerja padi,Penanaman,Rp/HOK,100000,100000,HOK,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk Pemangkasan,input,tenaga kerja padi,Pemangkasan,Rp/HOK,100000,100000,HOK,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pembersihan/weeding,input,tenaga kerja padi,pembersihan/weeding,Rp/HOK,100000,100000,HOK,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penyemprotan,input,tenaga kerja padi,penyemprotan,Rp/HOK,100000,100000,HOK,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan,input,tenaga kerja padi,pemanenan,Rp/HOK,100000,100000,HOK,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk paska panen,input,tenaga kerja kopi,paska panen,Rp/HOK,100000,100000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,Kopi,Rp/kg,35000,35000,kg,0,120,1500,1500,900,900,900,1500,1500,600,600,600,600,600,900,900,600,600,600,600,600,600,600,600,600,600,600,600,600,600
