sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,PADI,JAMBI,"DESA DUSUN TUA, MERANGIN",IRIGASI,2011.0,MINERAL,CROP,7.8,2.8,9084.0,1.0,Bibit yang digunakan Ciherang,pupuk,input,pupuk,Urea,kg/ha,2400,2400,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,,,,,,,,,,,Pemupukan intensif,pupuk,input,pupuk,SP,,5500,5500,,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0
,,,,,,,,,,,,Setahun 2 kali panen,pupuk,input,pupuk,KCL,,5500,5500,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,,,,,,,,,,,,pupuk,input,pupuk,NPK Poska,,5000,5000,,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,,70000,70000,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Seed ,rp/kg,4500,4500,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,,20000,20000,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Spayer,,180000,180000,,1.0,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Land Clearing/Preparation,,55000,55000,,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Seedbed Preparation,,55000,55000,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting/Replanting,,55000,55000,,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Weeding,,55000,55000,,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying/Crop Care,,55000,55000,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Crop watching from pig,,55000,55000,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Crop watching from bird,,55000,55000,,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Harvesting,,55000,55000,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Perontokan,,100,100,,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Giling,,8000,8000,,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5,277.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Drying,,55000,55000,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,utama,output,utama,Beras,,8000,8000,,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0,2775.0
