sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,PADI IRIGASI,PAPUA BARAT,PAPUA BARAT,IRIGASI,2018,MINERAL,CROP,7.1,2.1,13700,1,Pemupukan intensif,pupuk,input,pupuk,urea,Rp/kg,900,900,Kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,Setahun 2 kali panen,pupuk,input,pupuk,sp,Rp/kg,1000,1000,Kg,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
,,,,,,,,,,,,,pupuk,input,pupuk,kcl,Rp/kg,1150,1150,Kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Klongret,Rp/btl,115000,115000,btl,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pertakon,Rp/lt,78000,78000,lt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Rakus (Racunn Tikus),Rp/btl,45000,45000,Dus,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,seed,Rp/kg,4500,4500,Kg,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
,,,,,,,,,,,,,peralatan,input,peralatan,parang,Rp/unit,100000,100000,Unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,sprayer,Rp/unit,450000,450000,Unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Land Clearing/Preparation,Rp/unit,200000,200000,HOK,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538,15.38461538
