sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,LOKSADO,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,2.0,Tidak dipupuk ,pupuk,input,pupuk,Urea,Rp/kg,1600,1600,kg/ha,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Bibit yang digunakan: alam/cabutan, ada 1000 pohon dalam 2 hektar",bahan tanam /bibit,input,bahan tanam /bibit,Padi/Gabah,Rp/kg,2900,2900,Kg,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Mulai bisa disadap umur 10 tahun,bahan tanam /bibit,input,bahan tanam /bibit,Karet,Rp/btng,1000,1000,batang,450.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Karet dibawa dengan ember dan dikumpulkan di bak penampung dari kayu,bahan tanam /bibit,input,bahan tanam /bibit,Rambutan,Rp/btng,15000,15000,batang,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Tidak menggunakan asam semut/acid, tapi menggunakan gadung/sejenis umbi-umbian yang dipakai hanya sekali",bahan tanam /bibit,input,bahan tanam /bibit,Jengkol,Rp/btng,5000,5000,batang,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pohon campurannya adalah rambutan dan jengkol,peralatan,input,peralatan,Pisau sadap,Rp/unit,20000,20000,unit,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,"Untuk jengkol dari 20 pohon yang ditanam, setiap tahun ada 5 pohon yang berbuah masing-masing 30-50 kg/pohon",peralatan,input,peralatan,Mangkok penampung (latex cup),Rp/unit,200,200,unit,,,,,,,,,,100.0,150.0,180.0,190.0,190.0,190.0,195.0,200.0,200.0,200.0,200.0,200.0,195.0,195.0,190.0,180.0,180.0,180.0,180.0,180.0,180.0
,,,,,,,,,,,,"Untuk rambutan dari 15 pohon yang ditanam, setiap tahun 1 pohon menghasilkan/berbuah sebanyak 100 kg",peralatan,input,peralatan,Ember karet,Rp/unit,10000,10000,pair,,,,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,50000,50000,unit,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,25000,25000,unit,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Bak penampung,Rp/unit,50000,50000,unit,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,200000,200000,unit,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,Rp/HOK,45000,45000,HOK,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tumbang,Rp/HOK,45000,45000,HOK,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Bakar,Rp/HOK,45000,45000,HOK,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Pancang,Rp/HOK,45000,45000,HOK,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman padi,input,tenaga kerja padi,Tugal dan tanam padi,Rp/HOK,45000,45000,HOK,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Penyiangan,Rp/HOK,45000,45000,HOK,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Bird + pig waching,Rp/HOK,45000,45000,HOK,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Panen,Rp/HOK,45000,45000,HOK,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Perontokan + Pengeringan,Rp/HOK,45000,45000,HOK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Penanaman rambutan & jengkol,Rp/HOK,45000,45000,HOK,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,Pembuatan lubang +tanam+ pagar,Rp/HOK,45000,45000,HOK,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman karet,input,tenaga kerja karet,Tanam,Rp/HOK,45000,45000,HOK,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan karet,input,tenaga kerja karet,Penyiangan,Rp/HOK,45000,45000,HOK,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
,,,,,,,,,,,,,tk pemeliharaan karet,input,tenaga kerja karet,Spraying,Rp/HOK,45000,45000,HOK,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan karet,input,tenaga kerja karet,Pruning,Rp/HOK,45000,45000,HOK,1.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Penyadapan,Rp/HOK,45000,45000,HOK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,69.56521739130434,104.34782608695652,125.21739130434783,132.17391304347825,132.17391304347825,132.17391304347825,135.6521739130435,139.1304347826087,139.1304347826087,139.1304347826087,139.1304347826087,139.1304347826087,135.6521739130435,135.6521739130435,132.17391304347825,125.21739130434783,125.21739130434783,125.21739130434783,125.21739130434783,125.21739130434783,125.21739130434783
,,,,,,,,,,,,,tk pemanenan buah,input,tenaga kerja panen,Panen Rambutan,Rp/HOK,45000,45000,HOK,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,tk pemanenan buah,input,tenaga kerja panen,Panen Jengkol ,Rp/HOK,45000,45000,HOK,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,2.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,sampingan,output,sampingan,Padi,Rp/kg,2900,2900,kg,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,Rubber (100% DRC) ,Rp/kg,14000,14000,kg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,320.0,480.0,480.0,512.0,512.0,576.0,576.0,608.0,600.0,768.0,787.2,793.6,800.0,806.4,812.8,819.2,825.6,864.0,832.0,828.8
,,,,,,,,,,,,,sampingan,output,sampingan,Rambutan,Rp/kg,1000,1000,kg,,,,,,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
,,,,,,,,,,,,,sampingan,output,sampingan,Jengkol ,Rp/kg,6000,6000,kg,,,,,,75.0,75.0,75.0,75.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
,,,,,,,,,,,,,utama,output,utama,Kayu karet,Rp/batang,150000,150000,batang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0
,,,,,,,,,,,,,sampingan,output,sampingan,Kayu lain,Rp/batang,100000,100000,batang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6
