sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KARET AF,ACEH,-,2020,MINERAL,SMALLHOLDER,7.4,2.4,14831,input,pupuk,urea,rp,1500,2000,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,pupuk,sp,rp,2300,2500,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan kimia,round up,rp,80000,80000,liter/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan kimia,formic acid,rp,6000,6000,botol,,,,,,,,,0,2.03934096,3.73050792,4.953970368,5.3862948,5.424737139,5.500628649,5.683818816,5.90736672,5.9457555,6.02150706,6.09589782,6.16893642,6.049827576,6.01471301,5.7559284,5.385421728,5.385421728,5.211121878,5.1028056,4.91596695,4.73767803
,,,,,,,,,,input,bahan tanam /bibit,padi,rp,4000,4000,kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan tanam /bibit,karet lokal,rp,1000,1000,batang,550,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Pisau sadap,rp,20000,20000,unit,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,peralatan,Mangkok penampung (latex cup),rp,200,200,unit,,,,,,,,,,100,150,180,190,190,190,195,200,200,200,200,200,195,195,190,180,180,180,180,180,180
,,,,,,,,,,input,peralatan,Ember karet,rp,10000,10000,pair,,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2
,,,,,,,,,,input,peralatan,Cangkul,rp,25000,25000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,input,peralatan,Parang,rp,50000,50000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Bak penampung,rp,50000,50000,unit,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,tenaga kerja,tebas,rp,80000,80000,hok,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,tumbang,rp,80000,80000,hok,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,bakar,rp,80000,80000,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,pancang,rp,80000,80000,hok,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja padi,penanaman,rp,80000,80000,hok,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,penyiangan,rp,80000,80000,hok,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja padi,bird and pig waching,rp,80000,80000,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
