sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KEBUN CAMPUR AF,JAWA TENGAH,BANJARNEGARA,KEC SUSUKAN,2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,farmyard manure,rp/kg,400,400,kg,10000,,,,,,,,10000,,,,,,,10000,,,,,,,10000,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,npk,rp/kg,3000,3000,kg,272.5,390,520,,,,,,272.5,390,520,,,,,272.5,390,520,,,,,272.5,390,520,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Hand sprayer,rp/pieces,400000,400000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,95000,95000,pieces,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit,rp/pieces,50000,50000,pieces,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,kored,rp/pieces,50000,50000,pieces,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,,3,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Gembor,rp/pieces,60000,60000,pieces,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Garpu,rp/pieces,50000,50000,pieces,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,,4,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Pompa air dan selang,rp/pieces,1000000,1000000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sorongan,rp/pieces,400000,400000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,,2,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Bambu ajir,rp/pieces,250,250,pieces,485,48.5,0,0,0,0,0,0,500,50,0,0,0,0,0,500,50,0,0,0,0,0,500,50,0,0,0,0,0,0
,,,,,,,,,,,,,peralatan,input,peralatan,Ember,rp/pieces,30000,30000,pieces,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,,5,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Tungku,rp/pieces,200000,200000,pieces,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Wajan,rp/pieces,200000,200000,pieces,,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Ember (tempat nira),rp/pieces,2500,2500,pieces,,,,,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
,,,,,,,,,,,,,peralatan,input,peralatan,Pisau sadap,rp/pieces,85000,85000,pieces,,,,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Pikulan ,rp/pieces,10000,10000,pieces,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
