sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KELAPA AF,JAMBI,JAMBI,"Tanjabar, desa bram itam, desa mekar jaya",2018,GAMBUT,SMALLHOLDER,7.8,2.8,13700,1,Tidak dipupuk,bahan kimia,input,bahan kimia,Round Up,Rp/liter,80000,80000,liter,8,8,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Pinang,Rp/btng,1000,1000,batang,480,48,,,,,,,,,,,192,144,144,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kelapa,Rp/btng,5000,5000,batang,125,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit,Rp/unit,30000,30000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Ambung,Rp/unit,4000,4000,unit,0,0,0,0,0,35,35,35,35,35,75,75,75,75,75,100,100,100,100,100,75,75,75,75,75,75,75,75,75,75
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Rp/unit,25000,25000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,50000,50000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,225000,225000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Bambu,Rp/unit,20000,20000,unit,,,,,,,1,,2,,2,,2,,3,,3,,3,,3,,3,,3,,3,,3,
,,,,,,,,,,,,,peralatan,input,peralatan,Pisau cungkil,Rp/unit,2000,2000,unit,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,,,5,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,tebas,Rp/HOK,70000,70000,HOK,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,bakar,Rp/HOK,70000,70000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Pancang,Rp/HOK,70000,70000,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk parit,input,tenaga kerja,Pembuatan parit induk,Rp/HOK,60000,60000,HOK,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk parit,input,tenaga kerja,Pembuatan parit cacing,Rp/HOK,60000,60000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
