sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,,
AGROFORESTRI,LOGGING AF,PAPUA,PAPUA,,2010,MINERAL,LARGE SCALE,7.1,2.1,10337,1500,Based on 30 years estimation using Gorontalo wage rate at 2010 price,skenario lahan,skenario lahan,skenario lahan,lahan,,,,ha,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,45000,
,,,,,,,,,,,,"Domestic price refers to Indonesia log price (domestic), sawlogs (Meranti) as in TTM ITTO report  ",tradable input,input,peralatan,Fuel,Rp/lt," 5,281 "," 5,825 ",ltr,"12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327","12,327",,
,,,,,,,,,,,,"International timber price: Malaysia log prices (Commodity price data, WB) ",tradable input,input,peralatan,Lubricants,Rp/lt," 16,441 "," 16,441 ",ltr,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,,
,,,,,,,,,,,,Average annual cutting: 1500ha,tradable input,input,peralatan,Grease,Rp/kg," 34,975 "," 34,975 ",kg,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,
,,,,,,,,,,,,Commercial standing stock: 18 m3/ha,tradable input,input,peralatan,Spare parts,Rp/package," 712,145,905 "," 712,145,905 ",package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,source: http://groups.yahoo.com/group/rimbawan-interaktif/message/6847,tradable input,input,peralatan,Office supplies,Rp/package," 36,940,258 "," 36,940,258 ",package,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Heavy machinary,Rp/package," 30,460,278,650 "," 118,075,462,657 ",package/10 years,1,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,tradable capital,input,tradable capital,Tools,Rp/package," 349,501,200 "," 1,354,797,719 ",package/5 years,1,,,,,1,,,,,1,,,,,1,,,,,,1,,,,,,,,,,
,,,,,,,,,,,,,factor labor,input,tenaga kerja admin,Administrative / managerial,Rp/ps-year," 742,500,000 "," 742,500,000 ",,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,,
,,,,,,,,,,,,,factor labor,input,tenaga kerja ahli,Surveyor,Rp/ha," 1,500 "," 1,500 ",1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,
