sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT LARGE SCALE,KALIMANTAN SELATAN,KALIMANTAN SELATAN,,2011.0,MINERAL,LARGE SCALE,7.8,2.8,9084.0,3000.0,Forest at previous land consist of undisturbed forest and logged over forest (LOA),skenario lahan,skenario lahan,skenario lahan,lahan,,1.0,1.0,ha,512.0,1482.0,924.0,1943.0,281.0,,57.0,,,,674.0,329.0,235.0,,73.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,Produktivitas kebun: 15.8244934212268 ton FFB/ha,tradable input,input,pupuk,UREA,Rp/kg,2273.4726821366403,2287.446706320265,ton,23.1543961352657,90.1755193236715,260.5077468109498,720.4566432970449,965.1493862302872,1452.9705719055855,1526.0978458455438,1526.0978458455438,1545.0006058764038,1558.2922921197771,1597.0600081237333,1629.3647961803188,1811.730986579979,1894.3316917200577,1843.688183416882,1515.2846797936938,1328.8588943785392,898.3001848374766,842.0769810654914,845.0276995365236,834.5044516017538,834.5044516017538,835.1591702898552,835.1591702898552,685.804270531401,685.804270531401,685.804270531401,685.804270531401,685.804270531401,685.804270531401
,,,,,,,,,,,,Aktivitas penanaman: 78.9861751152074% lahan ditanami pada 5 tahun pertama,tradable input,input,pupuk,MOP,Rp/kg,2757.8511215610733,7052.193192361725,ton,23.1543961352657,90.1755193236715,297.0118877973253,862.6231611228901,1173.194470992482,1799.5460198250607,1892.707793017307,1892.707793017307,1912.6952701069697,1917.363509477873,1950.7546634641756,1971.7535424295265,2200.5389321669995,2306.596399776839,2244.466071364023,1835.276260147024,1603.6863757390215,1067.2114747979758,991.7486248546638,992.784961395168,977.78713211905,977.78713211905,978.0170791325966,978.0170791325966,791.9213080393052,701.0822743750726,636.1972503291921,636.1972503291921,616.0414769021739,616.0414769021739
,,,,,,,,,,,,Conversion benefit 3.57723006477586% at discounted revenue,tradable input,input,pupuk,RP,Rp/kg,1065.0,1115.3135583300334,ton,17.365797101449274,67.63163949275364,118.5684513201362,241.19435078640913,286.0916042359846,360.46059285723976,373.1492654617212,373.1492654617212,398.7188705383364,466.415908667049,531.4842224340325,631.3983973536194,678.0025502106682,690.5951375788582,690.627667557077,649.9829772447001,627.435853258002,574.1479765529087,597.2293839219873,612.2579436685098,621.4293718820334,621.4293718820334,624.7639763242709,624.7639763242709,606.2791441579133,606.2791441579133,606.2791441579133,606.2791441579133,606.2791441579133,606.2791441579133
,,,,,,,,,,,,Fertilizer cost 14.3002977001912% of total discounted cost,tradable input,input,pupuk,Dolomite,Rp/kg,420.0,420.0,ton,17.365797101449274,67.63163949275364,116.17084963513739,231.85681609912854,272.42714775780775,337.69742529712397,349.0702266643307,349.0702266643307,376.2922688490378,449.54494755455175,518.0771020050471,625.2750890978625,669.77642154907,680.8283625220166,689.1352519006143,675.0077752093702,668.6518052555735,650.1297491077411,680.765703559345,697.0276005189361,708.0998767162336,708.0998767162336,711.7081395674497,711.7081395674497,705.2830928131322,705.2830928131322,705.2830928131322,705.2830928131322,705.2830928131322,705.2830928131322
,,,,,,,,,,,,,tradable input,input,pupuk,HGFB,Rp/kg,5509.0,5509.0,ton,0.0,0.0,2.9138351245480556,11.348021949900046,16.606583776232867,27.664360430523633,29.263555098488485,29.263555098488485,33.620430615495216,45.29258074666497,52.56995370294085,67.87291436749067,73.92184561387793,75.79421232476916,84.52686481004145,104.63320176656319,117.5845856977891,143.94532301662971,153.06604492836453,155.65723075370516,158.28139842397954,158.28139842397954,158.85634239130437,158.85634239130437,168.00051992753626,168.00051992753626,168.00051992753626,168.00051992753626,168.00051992753626,168.00051992753626
,,,,,,,,,,,,,tradable input,input,bahan kimia,Starane,Rp/Lt,119000.0,119000.0,liter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,tradable input,input,bahan kimia,Klerat,Rp/kg,55000.0,55000.0,kg,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494,104.39624448797494
,,,,,,,,,,,,,tradable input,input,bahan kimia,Gramaxone,Rp/Lt,48500.0,48500.0,liter,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865,3871.5557933432865
,,,,,,,,,,,,,tradable input,input,bahan kimia,Roll up/Roundup,Rp/lt,36583.333333333336,36583.333333333336,liter,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179,4056.004763425179
