sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,KALIMANTAN SELATAN,HULU SUNGAI SELATAN,,2011.0,MINERAL,SMALLHOLDER,7.8,2.8,9084.0,2.0,"Perhitungan dilakukan dalam satuan 1 hektar. Praktik di lapangan, petani biasanya mengelola 2ha",pupuk,input,pupuk,Urea,Rp/kg,1600,2287.446706320265,kg,33.473088039996895,101.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969,169.4730880399969
,,,,,,,,,,,,"Bibit berasal dari bantuan dinas, umur kebun paling lama sekitar 5 tahun",pupuk,input,pupuk,KCL,Rp/kg,3000,7052.193192361725,kg,63.0,62.793221136871836,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184,130.79322113687184
,,,,,,,,,,,,Tahun pertama ditanami padi lokal,pupuk,input,pupuk,SP 36,Rp/kg,2200,2879.496395485259,kg,30.0,33.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731,101.93084370677731
,,,,,,,,,,,,"harga TBS termasuk rendah, karena jauh dari lokasi pabrik --ongkos transport tinggi",pupuk,input,pupuk,Kieserit,Rp/kg,1210,1065.0,kg,47.33333333333334,115.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334,183.33333333333334
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Roundup,Rp/l,50000,50000.0,liter,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Padi/Gabah,Rp/kg,2900,2900.0,kg/ha,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Kelapa Sawit,Rp/bibit,20000,20000.0,seedlings,135.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Dodos,Rp/unit,150000,150000.0,units,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Egreg,Rp/unit,225000,225000.0,units,,,,,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0
,,,,,,,,,,,,,peralatan,input,peralatan,Angkong,Rp/unit,300000,300000.0,units,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0
