sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
AGROFORESTRI,KELAPA AF,KALIMANTAN TIMUR,BERAU,,2015,MINERAL,SMALLHOLDER,7.79,2.79,13389,1,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,80000,80000,liter,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/pieces,150000,150000,pieces,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,,,,peralatan,input,peralatan,Sekop,rp/pieces,100000,100000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Keranjang,rp/pieces,150000,150000,pieces,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,400000,400000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Baji (pengupas sabut kelapa),rp/pieces,100000,100000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,125000,125000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,rp/pieces,3500,3500,pieces,100,,,,,,120,120,120,120,245,240,245,240,250,360,370,360,375,360,495,480,495,480,495,480,495,480,495,480
,,,,,,,,,,,,,peralatan,input,peralatan,Ani-ani,rp/pieces,45000,45000,pieces,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Firewood,rp/truck,150000,150000,truck,,,,,,,,,,,,,,,,,,,,,36,36,36,36,36,,,,,
