sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,KALIMANTAN TIMUR,BERAU,BIDUK-BIDUK,2015.0,MINERAL,SMALLHOLDER,7.79,2.79,13389.0,1.0,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,50000,50000,liter,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pestisida,rp/liter,80000,80000,liter,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,Garam,rp/sacks,35000,35000,sacks,,,,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,65000,65000,liter,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/pieces,150000,150000,pieces,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Sekop,rp/pieces,100000,100000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Keranjang,rp/pieces,150000,150000,pieces,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,400000,400000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Baji (pengupas sabut kelapa),rp/pieces,100000,100000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,125000,125000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,rp/pieces,3500,3500,pieces,40.0,,,,,,100.0,140.0,140.0,180.0,180.0,220.0,220.0,260.0,260.0,300.0,300.0,340.0,300.0,300.0,260.0,260.0,220.0,220.0,180.0,180.0,140.0,140.0,100.0,100.0
,,,,,,,,,,,,,peralatan,input,peralatan,Ani-ani,rp/pieces,45000,45000,pieces,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Bambu (membuat tangga),rp/bunches,250000,250000,bunches,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
