sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,SENGON,KALIMANTAN TIMUR,BERAU,,2015.0,MINERAL,SMALLHOLDER,7.79,2.79,13389.0,1.0,,pupuk,input,pupuk,Urea,rp/Kg,3000,3000,kg,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,rp/Kg,15000,15000,kg,100.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,rp/botol,38000,38000,botol,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,96000,96000,liter,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,120000,120000,pieces,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,,1.0,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/pieces,120000,120000,pieces,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,250000,250000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,rp/pieces,2000,2000,pieces,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Chainsaw (kecil),rp/pieces,1700000,1700000,pieces,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,
,,,,,,,,,,,,,peralatan,input,peralatan,Ajir,rp/pieces,400,400,pieces,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Seed (paddy),rp/kg,8000,8000,kg,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Seed (Sengon),rp/kg,500,500,kg,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,"Land Clearing/Preparation (Tebas,tebang,cincang)",rp/pers-day,100000,100000,pers-day,22.5,,,,,,,,10.0,,,,,,,,,,,10.0,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,Land preparation (bakar),rp/pers-day,100000,100000,pers-day,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,Planting,rp/pers-day,100000,100000,pers-day,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,Fertilizer/Crop care ,rp/pers-day,100000,100000,pers-day,21.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,21.0,4.0
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,Spraying ,rp/pers-day,100000,100000,pers-day,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,tenaga kerja sengon,input,tenaga kerja sengon,Crop care (pemangkasan/penjarangan),rp/pers-day,100000,100000,pers-day,,6.0,,,,,,,,10.0,,,,,,,,,,10.0,,,,,,,,,,
