sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,PADI,KALIMANTAN TIMUR,"KEC. PASIR BELENGKONG, PASER",IRIGASI,2015.0,MINERAL,CROP,7.79,2.79,13389.0,1.0,2 musim tanam dalam setahun,pupuk,input,pupuk,Urea,rp/Kg,2300,2300,kg,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,rp/Kg,3200,3200,kg,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,90000,90000,liter,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pestisida,rp/liter,80000,80000,liter,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pestisida,rp/botol,45000,45000,botol,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Pestisida,rp/botol,125000,125000,botol,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,150000,150000,pieces,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Arit,rp/pieces,100000,100000,pieces,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,350000,350000,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,rp/pieces,3000,3000,pieces,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0,210.0
