sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KAYU MANIS,JAMBI,MERANGIN,,2011.0,MINERAL,SMALLHOLDER,7.79,2.79,9085.0,1.0,Tidak dipupuk dan tidak menggunakan herbisida,peralatan,input,peralatan,Cangkul (hoe),rp/unit,35000,35000,unit,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,peralatan,input,peralatan,Kapak (axe),rp/unit,30000,30000,unit,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,Life cylce selama 30 tahun,peralatan,input,peralatan,Golok (machete),rp/unit,12000,12000,unit,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,"Cutting cyle 15 tahun, berulang pada tahun berikutnya",peralatan,input,peralatan,Sabit (sickle),rp/unit,10000,10000,unit,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Padi,rp/kg,6000,6000,kg/ha,50,50,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,ps-d/ha,55000,55000,ps-d/ha,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tumbang,ps-d/ha,55000,55000,ps-d/ha,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Bakar,ps-d/ha,55000,55000,ps-d/ha,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,tk penanaman,input,tenaga kerja,Padi,ps-d/ha,55000,55000,ps-d/ha,25,25,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman,input,tenaga kerja,Kayu manis (Cinnamomum burmanii),ps-d/ha,55000,55000,ps-d/ha,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
