sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,PADI,KALIMANTAN TIMUR,PASER,,2015.0,MINERAL,CROP,7.79,2.79,13389.0,1.0,Bibit lokal,bahan tanam /bibit,Input,bahan tanam /bibit,Seed,rp/kg,7000,7000,kg,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
,,,,,,,,,,,,,bahan kimia,Input,bahan kimia,Herbisida,rp/liter,50000,50000,liter,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
,,,,,,,,,,,,,peralatan,Input,peralatan,Cangkul,rp/pieces,90000,90000,pieces,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,
,,,,,,,,,,,,,peralatan,Input,peralatan,Ani-ani,rp/pieces,50000,50000,pieces,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
,,,,,,,,,,,,,peralatan,Input,peralatan,Karung,rp/pieces,3500,3500,pieces,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
,,,,,,,,,,,,,peralatan,Input,peralatan,Tali tanam,rp/kg,65000,65000,kg,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,Input,peralatan,Tali rapiah,rp/kg,45000,45000,kg,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,peralatan,Input,peralatan,Jarum,rp/pieces,2500,2500,pieces,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,,2.0,,,,
,,,,,,,,,,,,,tenaga kerja,Input,tenaga kerja,Pembukaan/Persiapan Lahan,rp/pers-day,100000,100000,rp/pers-day,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,,,,,,,,,,,,,tenaga kerja,Input,tenaga kerja,Planting/Replanting,rp/pers-day,100000,100000,rp/pers-day,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
,,,,,,,,,,,,,tenaga kerja,Input,tenaga kerja,Penyiangan,rp/pers-day,100000,100000,rp/pers-day,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
