sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,CENGKEH,GORONTALO,,,2014,MINERAL,SMALLHOLDER,7,3,11830,1,Panen Awal : 1 kg cengkeh kering/ph (umur 7 th),input,input,bahan tanam/bibit,Bahan Tanam (Cengkeh),Rp/unit,10000,10000,batang,150,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Panen umur >10 : 2 kg cengkeh kering/ph,input,input,peralatan,Karung,Rp/unit,2500,2500,unit,0,0,0,0,0,2.4,0,2.4,0,2.4,0,4.8,0,4.8,0,4.8,0,4.8,0,12,0,12,0,12,0,12,0,12,0,12
,,,,,,,,,,,,Panen umur >20 : 5 kg cengkeh kering/ph,input,input,peralatan,sabit,Rp/unit,30000,30000,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,input,input,peralatan,Cangkul,Rp/unit,25000,25000,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,input,input,peralatan,Ajir,Rp/unit,150,150,unit,150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Persiapan lahan,Rp/HOK,60000,103869.732,HOK,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Pembuatan lubang tanam,Rp/HOK,60000,103869.732,HOK,9.375,0.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Ajir,Rp/HOK,60000,103869.732,HOK,1.5,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Penanaman,Rp/HOK,60000,103869.732,HOK,11.25,1.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan,Rp/HOK,60000,103869.732,HOK,45,45,45,45,45,45,45,45,45,45,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,input,input,tenaga kerja,Pemupukan,Rp/HOK,60000,103869.732,HOK,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Prunning,Rp/HOK,60000,103869.732,HOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Perawatan lain,Rp/HOK,60000,103869.732,HOK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,input,input,tenaga kerja,Pemanenan,Rp/HOK,60000,103869.732,HOK,0,0,0,0,0,37.5,0,37.5,0,37.5,0,37.5,0,37.5,0,60,0,60,0,150,0,150,0,150,0,150,0,150,0,150
,,,,,,,,,,,,,output,output,utama,Cengkeh,Rp/kg,53000,53000,Kg,0,0,0,0,0,120,0,120,0,120,0,240,0,240,0,240,0,240,0,600,0,600,0,600,0,600,0,600,0,600
