sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,CENGKEH,SULAWESI SELATAN,BULUKUMBA,,2012,MINERAL,SMALLHOLDER,7.788,2.788,9085,1,,pupuk,input,pupuk,Urea,rp/kg,2000,,kg/ha,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,pupuk,input,pupuk,ZA,rp/kg,1800,,kg/ha,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Gramoxon,rp/liter,49000,,liter/ha,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Jagung,rp/Kg,43000,,kg/ha,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Cengkeh,rp/unit,5000,,batang,200,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,rp/unit,1000,,unit,80,80,0,0,9.7592,0,13.9312,0,17.2136,0,19.6064,0,21.1096,0,21.7232,0,21.4472,0,20.2816,0,18.2264,0,15.2816,0,11.4472,0,6.7232,0,1.1096,0
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/unit,30000,,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/unit,25000,,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,rp/unit,450000,,unit,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
,,,,,,,,,,,,,peralatan,input,peralatan,Ajir,rp/unit,150,,unit,200,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,tenaga kerja jagung,input,tenaga kerja jagung,Sewa Transport,rp,35000,,unit,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,Cengkeh,rp/kg,100000,,kg,0,0,0,0,487.96,0,696.56,0,860.68,0,980.32,0,1055.48,0,1086.16,0,1072.36,0,1014.08,0,911.32,0,764.08,0,572.36,0,336.16,0,55.48,0
,,,,,,,,,,,,,sampingan,output,sampingan,Jagung,rp/kg,1600,,kg,4000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
