sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,COKLAT,ACEH,-,2020,MINERAL,SMALLHOLDER,7.4,2.4,14831,input,pupuk,npk,rp,2500,2500,kg,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,input,pupuk,urea,rp,0,0,kg,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0
,,,,,,,,,,input,bahan kimia,Gramoxon,rp,60000,60000,lt,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,input,bahan kimia,Allie,rp,53000,53000,Btl,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,input,bahan kimia,Amirtantop,rp,60000,60000,Btl,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,input,bahan kimia,Ridomid,rp,40000,40000,Bungkus,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,input,bahan tanam /bibit,coklat,rp,3000,3000,batang,800,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Sabit,rp,250000,250000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Pisau,rp,25000,25000,unit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,peralatan,Sprayer,rp,400000,400000,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,input,peralatan,Karung,rp,3000,3000,unit,0,0.2,6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4
,,,,,,,,,,input,tenaga kerja,tebas+tebang,rp,80000,80000,hok,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pembersihan,rp,80000,80000,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Ajir+Lubang,rp,80000,80000,hok,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,penanaman,rp,80000,80000,hok,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pemangkasan Batang,rp,80000,80000,hok,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,input,tenaga kerja,Pemupukan,rp,80000,80000,hok,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,input,tenaga kerja,penyemprotan,rp,80000,80000,hok,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,input,tenaga kerja,pemanenan,rp,80000,80000,hok,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,input,tenaga kerja,pasca panen,rp,80000,80000,hok,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,output,utama,coklat,rp,18000,18000,kg,0,10.47874939,314.3624817,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,922.1299463,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682,544.8949682
