sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KAKAO,KALIMANTAN TIMUR,BERAU:kec teluk pandan,2019,MINERAL,SMALLHOLDER,7.85,1.83,13853,1,,,input,pupuk,urea,rp/Kg,1800,1800,Kg,,50,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,pupuk,NPK,rp/Kg,2600,2600,Kg,200,150,,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,input,pupuk,KCL,rp/Kg,2000,2000,Kg,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,pupuk,SP36,rp/Kg,2000,2000,Kg,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,pupuk,pupuk (liquid),rp/botol,40000,40000,botol,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,input,pupuk,pupuk (powder),rp/package,15000,15000,package,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,input,pupuk,basmilang,rp/liter,65000,65000,liter,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,pupuk,gramaxone,rp/liter,68000,68000,liter,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,input,bahan tanam /bibit,Seed (cacao),rp,7500,7500,pcs,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,peralatan,Gunting,rp/pieces,75000,75000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,input,peralatan,Gergaji,rp/pieces,35000,35000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,input,peralatan,Cangkul,rp/pieces,45000,45000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,input,peralatan,Handsprayer,rp/pieces,575000,575000,pieces,2,,,,,2,,,,,2,,,,,2,,,,,1,,,,,1,,,,
,,,,,,,,,,,,,input,peralatan,Plastik,rp/roll,35000,35000,roll,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,input,peralatan,Bak kayu,rp/pieces,400000,400000,pieces,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
