sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,ACEH,-,2020,MINERAL,CROP,7.4,2.4,14831,input,pupuk,urea,rp,2200,2000,kg/ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,pupuk,herbisida,rp,50000,50000,lt,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,input,bahan tanam /bibit,seed,rp,8000,8000,kg/ha,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
,,,,,,,,,,input,peralatan,sprayer,rp,250000,250000,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,input,peralatan,parang,rp,50000,50000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,tenaga kerja,Persiapan Lahan,rp,80000,80000,hok,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,input,tenaga kerja,Pemeliharaan parit,rp,60000,60000,hok,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,input,tenaga kerja,Penanaman (Tugal dan tanam),rp,80000,80000,hok,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,input,tenaga kerja,Penyiangan/penyemprotan,rp,80000,80000,hok,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Panen,rp,80000,80000,hok,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Pasca panen (kupas dan jemur),rp,80000,80000,hok,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,output,utama,jagung,rp,3200,2000,kg,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
