sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,JAWA TENGAH,BANYUMAS,KEBANGGA,2016,MINERAL,SMALLHOLDER,7.72,2.72,13308,1,,pupuk,input,pupuk,Urea ,rp/Kg,2000,2000,Kg,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,rp/Kg,2400,2400,Kg,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
,,,,,,,,,,,,,pupuk,input,pupuk,ZA,rp/Kg,1500,1500,Kg,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
,,,,,,,,,,,,,pupuk,input,pupuk,organic,rp/Kg,540,540,Kg,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,FENVAL,rp/liter,70000,70000,liter,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,acrobat,rp/sachet,5000,5000,sachet,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,gramoxone,rp/liter,62000,62000,liter,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,70000,70000,pieces,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sabit,rp/pieces,60000,60000,pieces,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,600000,600000,pieces,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Ember,rp/pieces,10000,10000,pieces,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,peralatan,input,peralatan,Sack,rp/pieces,2000,2000,pieces,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252,252
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,benih jagung,rp/kg,60000,60000,kg,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Land Clearing/Preparation ,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Seedpreparation,rp/pers-day,60000,60000,pers-day,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Planting ,rp/pers-day,60000,60000,pers-day,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer I,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying (pesticide),rp/pers-day,60000,60000,pers-day,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Spraying (herbicide),rp/pers-day,60000,60000,pers-day,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Fertilizer II,rp/pers-day,60000,60000,pers-day,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Crop watching from pig&monkey,rp/pers-day,60000,60000,pers-day,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Harvesting,rp/pers-day,60000,60000,pers-day,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Post harvesting,rp/pers-day,60000,60000,pers-day,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Drying,rp/pers-day,60000,60000,pers-day,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Transportation,rp/pers-day,60000,60000,pers-day,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,,,,,,,,,,,,,utama,output,utama,jagung,rp/kg,3000,3000,kg,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600
