sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,MUSI BANYUASIN,-,2014,GAMBUT,CROP,7,2,10337,input,pupuk,Urea,Rp/kg,2000,2000,kg,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,input,pupuk,Posca,Rp/kg,2700,2700,kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,input,pupuk,Sp,Rp/kg,2700,2700,kg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,input,pupuk,Set up,Rp/Lt,65000,65000,lt,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,pupuk,Calaris,Rp/Lt,300000,300000,lt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,bibit,Seed ,Rp/kantong,330000,330000,kantong,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,input,peralatan,Sprayer,Rp/unit,350000,350000,unit,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,input,peralatan,Parang,Rp/unit,75000,75000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,tenaga kerja,Persiapan Lahan,Rp/HOK,60000,60000,HOK,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,input,tenaga kerja,Pembuatan parit,Rp/HOK,60000,60000,HOK,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,input,tenaga kerja,Pemeliharaan parit,Rp/HOK,60000,60000,HOK,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,input,tenaga kerja,Penanaman (Tugal dan tanam),Rp/HOK,60000,60000,HOK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,input,tenaga kerja,Penyiangan/penyemprotan,Rp/HOK,60000,60000,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Panen,Rp/HOK,60000,60000,HOK,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Pasca panen (kupas dan jemur),Rp/HOK,60000,60000,HOK,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,output,utama,jagung, Rp/kg,3000,3000,Kg,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
