sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,PAPUA BARAT,PAPUA BARAT,,2018,MINERAL,CROP,7.0926,2.0926,13700,1,,bahan tanam /bibit,input,bahan tanam /bibit,seed,Lt,38000,38000,Kg,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,,,,,,,,,,,,peralatan,input,peralatan,Parang ,Unit,50000,50000,Unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,Unit,150000,150000,Unit,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sekop,Unit,85000,85000,Unit,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,
,,,,,,,,,,,,,peralatan,input,peralatan,Karung,Unit,150000,150000,Unit,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774,132.4744774
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Persiapan Lahan,HOK,120000,120000,HOK,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775,26.53100775
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Penanaman ,HOK,120000,120000,HOK,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822,11.47286822
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Pemeliharaan,HOK,120000,120000,HOK,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938,20.07751938
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,Panen,HOK,120000,120000,HOK,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
,,,,,,,,,,,,,utama,output,utama,jagung,Rp/buah (tongkol),3500,3500,buah,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819,10597.95819
