sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,JAGUNG,SULAWESI SELATAN,BANTAENG,,2012,MINERAL,SMALLHOLDER,7.788,2.788,9085,1,,pupuk,input,pupuk,Urea,rp/kg,2000,2000,kg,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
,,,,,,,,,,,,,pupuk,input,pupuk,ZA,rp/kg,1800,1800,kg,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,gramaxon,rp/l,49000,49000,l,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,bibit,rp/kg,43000,43000,kg,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
,,,,,,,,,,,,,peralatan,input,peralatan,sprayer,rp/unit,450000,450000,unit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,peralatan,input,peralatan,parang ,rp/unit,35000,35000,unit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,peralatan,input,peralatan,cangkul,rp/unit,50000,50000,unit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,peralatan,input,peralatan,karung,rp/unit,1500,1500,unit,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,tebas,rp/hok,30000,30000,hok,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,bakar,rp/hok,30000,30000,hok,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,semprot,rp/hok,30000,30000,hok,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,tugal + tanam,rp/hok,30000,30000,hok,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,pemupukan,rp/hok,30000,30000,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,penyemprotan,rp/hok,30000,30000,hok,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,panen,rp/hok,30000,30000,hok,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,pipil,rp/hok,30000,30000,hok,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,jemur,rp/hok,30000,30000,hok,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,tenaga kerja,input,tenaga kerja,transport angkut,rp,35000,35000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,utama,output,utama,jagung,rp/kg,1600,1600,kg,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
