sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,KALIMANTAN TIMUR,BERAU,DESA TAJUNG PERANGAT,2015.0,MINERAL,SMALLHOLDER,7.79,2.79,13389.0,1.0,,pupuk,input,pupuk,Urea,rp/kg,2200.0,2200.0,kg,50.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pupuk,input,pupuk,NPK,rp/kg,5000.0,5000.0,kg,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan kimia,input,bahan kimia,Herbisida,rp/liter,35000.0,35000.0,liter,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Bambu (ajir),rp/pieces,400.0,400.0,pieces,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Cangkul,rp/pieces,120000.0,120000.0,pieces,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,,1.0,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,rp/pieces,120000.0,120000.0,pieces,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Mangkok penampung (latex cup),rp/pieces,500.0,500.0,pieces,,,,,,,600.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
,,,,,,,,,,,,,peralatan,input,peralatan,Handsprayer,rp/pieces,250000.0,250000.0,pieces,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Sack,rp/pieces,3000.0,3000.0,pieces,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Knife (pisau sadap),rp/pieces,40000.0,40000.0,pieces,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,peralatan,input,peralatan,Ember karet,rp/pieces,20000.0,20000.0,pieces,,,,,,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,
,,,,,,,,,,,,,peralatan,input,peralatan,Cuka,rp/pieces,15000.0,15000.0,pieces,0.0,0.0,0.0,0.0,0.0,4.2993,9.843721272,15.1232599,16.48463591,17.2623474,18.77260696,19.12425183,19.36286909,19.08063828,18.78712471,18.54729954,18.28858668,17.60256599,16.91238393,16.47873306,15.98332409,15.49029528,14.93849201,14.4512784,13.42542461,12.41408577,11.47538198,10.54960218,9.586012064,8.69104764
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Seed (paddy),rp/kg,8333.333333333334,8333.333333333334,kg,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam /bibit,input,bahan tanam /bibit,Seed (karet),rp/pieces,5000.0,5000.0,pieces,500.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Land preparation ,rp/pers-day,100000.0,100000.0,pers-day,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Weeding 1,rp/pers-day,100000.0,100000.0,pers-day,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Spraying/crop care,rp/pers-day,100000.0,100000.0,pers-day,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Weeding2,rp/pers-day,100000.0,100000.0,pers-day,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Crop watching from pig&bird,rp/pers-day,100000.0,100000.0,pers-day,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Harvesting,rp/pers-day,100000.0,100000.0,pers-day,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Post-harvesting (paddy threshing),rp/pers-day,100000.0,100000.0,pers-day,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Transportation,rp/pers-day,100000.0,100000.0,pers-day,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Drying,rp/pers-day,100000.0,100000.0,pers-day,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja padi,input,tenaga kerja padi,Rice mill,rp/pers-day,100000.0,100000.0,pers-day,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,"Land Clearing/Preparation (Tebas,tebang,cincang)",rp/pers-day,100000.0,100000.0,pers-day,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Land preparation (bakar),rp/pers-day,100000.0,100000.0,pers-day,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Planting ,rp/pers-day,100000.0,100000.0,pers-day,9.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Fertilize ,rp/pers-day,100000.0,100000.0,pers-day,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Spraying (herbicide),rp/pers-day,100000.0,100000.0,pers-day,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tenaga kerja karet,input,tenaga kerja karet,Weeding,rp/pers-day,100000.0,100000.0,pers-day,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
