sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KARET,OKI,-,2020,GAMBUT,SMALLHOLDER,7.41,2.4,14544,input,pupuk,urea,rp/kg,3500,3500,kg,188,188,188,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan kimia,round up,rp/liter,76000,76000,L,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,bahan kimia,cuka,rp/botol,9800,9800,botol,,,,,,,16,17,19,19,19,19,19,19,18,18,17,16,16,15,15,14,13,12,11,11,10,9,76,76
,,,,,,,,,,input,bahan tanam/bibit,Karet ,Rp/btng,6000,6000,batang,550,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,peralatan,Pisau sadap,Rp/unit,33500,33500,unit,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,input,peralatan,Mangkok penampung (latex cup),Rp/unit,1500,1500,unit,0,0,0,0,0,200,350,427.5,427.5,427.5,446.5,437,427.5,418,408.5,399,389.5,380,370.5,361,351.5,342,332.5,323,304,285,266,247,228,209
,,,,,,,,,,input,peralatan,Ember karet,Rp/unit,18000,18000,pair,,,,,,,,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,150000,150000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,input,peralatan,Parang,Rp/unit,75000,75000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Bak penampung,Rp/unit,125000,125000,unit,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,input,peralatan,Sprayer,Rp/unit,400000,400000,unit,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,
,,,,,,,,,,input,peralatan,Talang/sudu,Rp/unit,2000,2000,unit,,,,,,,500,,500,,500,,500,,500,,500,,500,,500,,500,,500,,500,,500,
,,,,,,,,,,input,tenaga kerja,Tebas,Rp/HOK,100000,100000,hok,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Tumbang,Rp/HOK,100000,100000,hok,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Bakar,Rp/HOK,100000,100000,hok,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pancang,Rp/HOK,100000,100000,hok,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Pembuatan lubang + pagar + tanam,Rp/HOK,100000,100000,hok,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,input,tenaga kerja,Penyiangan,Rp/HOK,100000,100000,hok,21,21,21,21,21,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,input,tenaga kerja,Pruning,Rp/HOK,100000,100000,hok,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,pemupukan,Rp/HOK,100000,100000,hok,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,penyemprotan,Rp/HOK,100000,100000,hok,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Penyadapan,Rp/HOK,80000,80000,hok,0,0,0,0,0,21.4965,49.21860636,75.61629952,82.42317956,86.311737,93.86303479,95.62125915,96.81434547,95.4031914,93.93562354,92.7364977,91.44293338,88.01282995,84.56191965,82.3936653,79.91662045,77.45147638,74.69246005,72.256392,67.12712306,62.07042884,57.3769099,52.7480109,47.93006032,43.4552382
,,,,,,,,,,output,utama,karet basah,rp/kg,8500,8500,kg,0,0,0,0,0,429.93,984.3721272,1512.32599,1648.463591,1726.23474,1877.260696,1912.425183,1936.286909,1908.063828,1878.712471,1854.729954,1828.858668,1760.256599,1691.238393,1647.873306,1598.332409,1549.029528,1493.849201,1445.12784,1342.542461,1241.408577,1147.538198,1054.960218,958.6012064,869.104764
