sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,JAMBI,JAMBI,,2018,MINERAL,SMALLHOLDER,7,2,13700,1,Tahun pertama ditanami padi ladang,pupuk,input,pupuk,Urea,Rp/kg,1500,2000,kg,199.8,199.8,199.8,199.8,199.8,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Bibit lokal/tidak diketahui asal usulnya,pupuk,input,pupuk,NPK,Rp/kg,3000,4000,kg,399.6,399.6,399.6,399.6,399.6,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,270,270,270,270,270,270,270,270,270,270
,,,,,,,,,,,,"Penggunaan pupuk yang umum : Urea, NPK, dan Borate",bahan kimia,input,bahan kimia,Roundup,Rp/l,80000,80000,liter,2,2,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Padi/Gabah,Rp/kg,4000,4000,kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,bahan tanam/bibit,input,bahan tanam/bibit,Kelapa Sawit,Rp/bibit,15000,15000,seedlings,135,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Dodos,Rp/unit,150000,150000,units,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,peralatan,input,peralatan,Egreg,Rp/unit,225000,225000,units,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Angkong,Rp/unit,300000,300000,units,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Sprayer,Rp/unit,250000,250000,units,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,,,,peralatan,input,peralatan,Parang,Rp/unit,50000,50000,units,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tebas,Rp/HOK,70000,70000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Tumbang,Rp/HOK,187500,187500,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Bakar,Rp/HOK,70000,70000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk persiapan lahan,input,tenaga kerja,Pancang,Rp/HOK,70000,70000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman padi,input,tenaga kerja padi,Tugal dan tanam padi,Rp/HOK,70000,70000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Penyiangan,Rp/HOK,70000,70000,HOK,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan padi,input,tenaga kerja padi,Bird + pig waching,Rp/HOK,70000,70000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Panen,Rp/HOK,70000,70000,HOK,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemanenan padi,input,tenaga kerja padi,Perontokan + Pengeringan,Rp/HOK,70000,70000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Pembuatan lubang + pagar,Rp/HOK,70000,70000,HOK,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk penanaman sawit,input,tenaga kerja sawit,Tanam,Rp/HOK,70000,70000,HOK,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pembersihan piringan,Rp/HOK,70000,70000,HOK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pruning,Rp/HOK,70000,70000,HOK,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Penyemprotan,Rp/HOK,70000,70000,HOK,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,tk pemeliharaan sawit,input,tenaga kerja sawit,Pemupukan,Rp/HOK,70000,70000,HOK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,tk pemanenan sawit,input,tenaga kerja sawit,panen sawit,Rp/HOK,100000,100000,HOK,,,24,24,24,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital privat,capital expenditure,rp,1,1,Rp,0,0,126923.0769,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-226923.0769
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital sosial,capital expenditure,rp,1,1,Rp,0,0,126923.0769,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-226923.0769
,,,,,,,,,,,,,sampingan,output,sampingan,Beras,Rp/kg,8000,8000,kg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,utama,output,utama,FFB,Rp/kg,1200,1438.144013,tons,0,0,600,2000,5000,10000,10000,20000,20000,25000,25000,25000,25000,25000,25000,20000,20000,20000,20000,20000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
