sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA SAWIT,RIAU,PELALAWAN,,2019,MINERAL,SMALLHOLDER,7.1,2.1,13700,1,Tahun pertama ditanami padi ladang,input,input,pupuk,TSP,Rp/kg,5000,2000,kg,199.8,199.8,199.8,199.8,199.8,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,Bibit lokal/tidak diketahui asal usulnya,input,input,pupuk,NPK,Rp/kg,6000,4000,kg,399.6,399.6,399.6,399.6,399.6,499.5,499.5,499.5,499.5,499.5,500,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,500.175,270,270,270,270,270,270,270,270,270,270
,,,,,,,,,,,,"Penggunaan pupuk yang umum : Urea, NPK, dan Borate",input,input,pupuk,Organik,Rp/kg,1000,1000,kg,0,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
,,,,,,,,,,,,,input,input,bahan kimia,Roundup,Rp/l,80000,80000,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,,input,input,bahan tanam /bibit,Padi/Gabah,Rp/kg,8000,4000,kg,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,bahan tanam /bibit,Kelapa Sawit,Rp/bibit,45000,15000,seedlings,135,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,peralatan,Dodos,Rp/unit,150000,150000,units,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,peralatan,Egreg,Rp/unit,225000,225000,units,,,,,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1
,,,,,,,,,,,,,input,input,peralatan,Angkong,Rp/unit,300000,300000,units,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1
,,,,,,,,,,,,,input,input,peralatan,Sprayer,Rp/unit,250000,250000,units,1,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1
,,,,,,,,,,,,,input,input,peralatan,Parang,Rp/unit,50000,50000,units,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,input,input,tenaga kerja,Tebas,Rp/HOK,100000,100000,HOK,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Tumbang,Rp/HOK,187500,187500,HOK,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Bakar,Rp/HOK,100000,100000,HOK,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Pancang,Rp/HOK,100000,100000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja padi,Tugal dan tanam padi,Rp/HOK,100000,100000,HOK,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja padi,Penyiangan,Rp/HOK,100000,100000,HOK,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja padi,Bird + pig waching,Rp/HOK,100000,100000,HOK,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja padi,Panen,Rp/HOK,100000,100000,HOK,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja padi,Perontokan + Pengeringan,Rp/HOK,100000,100000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pembuatan lubang + pagar,Rp/HOK,100000,100000,HOK,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Tanam,Rp/HOK,100000,100000,HOK,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pembersihan piringan,Rp/HOK,100000,100000,HOK,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pruning,Rp/HOK,100000,100000,HOK,,,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Penyemprotan,Rp/HOK,100000,100000,HOK,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pemupukan,Rp/HOK,100000,100000,HOK,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pemanenan ,Rp/HOK,100000,100000,HOK,,,1.896551724,6.32183908,15.8045977,31.6091954,31.6091954,63.2183908,63.2183908,79.02298851,79.02298851,79.02298851,79.02298851,79.02298851,79.02298851,63.2183908,63.2183908,63.2183908,63.2183908,63.2183908,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954
,,,,,,,,,,,,,input,input,tenaga kerja sawit,Pengangkutan,Rp/Ton,50000,50000,Ton,0,0,0.948275862,3.16091954,7.902298851,15.8045977,15.8045977,31.6091954,31.6091954,39.51149425,39.51149425,39.51149425,39.51149425,39.51149425,39.51149425,31.6091954,31.6091954,31.6091954,31.6091954,31.6091954,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977,15.8045977
,,,,,,,,,,,,,output,output,sampingan,beras,Rp/kg,10000,8000,kg,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,output,output,utama,TBS,Rp/kg,1200,1438.144013,tons,0,0,0.6,2,5,10,10,20,20,25,25,25,25,25,25,20,20,20,20,20,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital privat,Capital Expenditures private,Rp,,,,0,0,46363.83731,18438.69732,39511.49425,65852.49042,0,131704.9808,0,65852.49042,0,0,0,0,0,-65852.49042,0,0,0,0,-131704.9808,0,0,0,0,0,0,0,0,-170166.5193
,,,,,,,,,,,,,modal kapital,modal kapital,modal kapital sosial,Capital Expenditures social,Rp,,,,0,0,46363.83731,18438.69732,39511.49425,65852.49042,0,131704.9808,0,65852.49042,0,0,0,0,0,-65852.49042,0,0,0,0,-131704.9808,0,0,0,0,0,0,0,0,-170166.5193
