sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,BANYUASIN,-,2014,GAMBUT,SMALLHOLDER,7,2,"10,337",input,pupuk,set up,rp,65000,65000,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,input,bahan tanam /bibit,kelapa dalam,rp,2000,2000,batang,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Sabit,Rp/unit,30000,30000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,input,peralatan,Ambung,Rp/unit,4000,4000,unit,0,0,0,0,0,35,35,35,50,50,75,75,75,75,75,75,75,75,75,75,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,100000,100000,pair,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,input,peralatan,Parang,Rp/unit,75000,75000,unit,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,input,peralatan,Sprayer,Rp/unit,300000,300000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,input,peralatan,Tangkus,Rp/unit,20000,20000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Bambu,Rp/unit,5000,5000,unit,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,input,tenaga kerja,tebas,Rp/HOK,60000,60000,hok,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,bakar,Rp/HOK,60000,60000,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pembuatan parit cacing,Rp/HOK,60000,60000,hok,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pemeliharaan parit cacing,Rp/HOK,60000,60000,hok,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,input,tenaga kerja,Penanaman ,Rp/HOK,60000,60000,hok,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Penyiangan,Rp/HOK,60000,60000,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,input,tenaga kerja,Penyemprotan,Rp/HOK,60000,60000,hok,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,input,skenario pemanenan,Pemanenan,Rp/buah,500,500,jumlah buah,0,0,0,0,0,3500,3500,3500,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,,,,,,,,,,output,utama,Kelapa,Rp/buah,2000,2000,butir,0,0,0,0,0,3500,3500,3500,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
