sut,komoditas,provinsi,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,KALIMANTAN TIMUR,BERAU,2019,MINERAL,SMALLHOLDER,7.85,2.85,13850,input,pupuk,Kandang,Rp/kg,5000,0,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,pupuk,Urea,Rp/kg,2000,2000,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,pupuk,Garam,Rp/kg,0,0,kg,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,input,bahan tanam /bibit,Kelapa dalam,Rp/btng,3000,3000,batang,160,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,peralatan,Sabit,Rp/unit,30000,30000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,input,peralatan,Cangkul,Rp/unit,25000,25000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,input,tenaga kerja,tebas+tebang,Rp/unit,120000,120000,HOK,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,bakar,rp,120000,120000,HOK,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Lubang+pupuk dasar,rp,120000,120000,HOK,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Tanam,rp,120000,120000,HOK,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Penyiangan,rp,120000,120000,HOK,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
,,,,,,,,,,input,tenaga kerja,Pembuatan pagar,rp,120000,120000,HOK,16,,,,16,,,,,16,,,,,16,,,,,16,,,,,16,,,,,16
,,,,,,,,,,input,tenaga kerja,Pemanenan,rp,120000,120000,HOK,,,,,,13.61111111,13.61111111,13.61111111,13.61111111,13.61111111,19.44444444,19.44444444,19.44444444,19.44444444,19.44444444,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667,29.16666667
,,,,,,,,,,input,tenaga kerja,Transport ke langkau,rp,120000,120000,HOK,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
,,,,,,,,,,input,tenaga kerja,Pemisahan serabut,rp,120000,120000,HOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pembelahan,rp,120000,120000,HOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pemanggangan,rp,120000,120000,HOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,input,tenaga kerja,Pemisahan tempurung,rp,120000,120000,HOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,output,utama,kopra kering 75%,rp/kg,2500,2500,kg,,,,0,0,3500,3500,3500,3500,3500,5000,5000,5000,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
