sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30
MONOKULTUR,KELAPA,SUMATERA SELATAN,MUSI RAWAS,,2014,MINERAL,SMALLHOLDER,7,2,"10,337",1,Tidak dipupuk,input,input,pupuk,set up,rp,65000,65000,liter,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,,,,,,,,,,,Bibit yang digunakan: alam/cabutan,input,input,bahan tanam /bibit,kelapa dalam,rp,2000,2000,batang,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Dikelola turun-temurun, biasanya umur 4 tahun sudah menghasilkan",input,input,peralatan,Sabit,Rp/unit,30000,30000,unit,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,Periode perhitungan 30 tahun,input,input,peralatan,Ambung,Rp/unit,4000,4000,unit,0,0,0,0,0,35,35,35,50,50,75,75,75,75,75,75,75,75,75,75,50,50,50,50,50,50,50,50,50,50
,,,,,,,,,,,,,input,input,peralatan,Cangkul,Rp/unit,100000,100000,pair,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,,,,,1,
,,,,,,,,,,,,,input,input,peralatan,Parang,Rp/unit,75000,75000,unit,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,
,,,,,,,,,,,,,input,input,peralatan,Sprayer,Rp/unit,300000,300000,unit,1,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1
,,,,,,,,,,,,,input,input,peralatan,Tangkus,Rp/unit,20000,20000,unit,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,
,,,,,,,,,,,,,input,input,peralatan,Bambu,Rp/unit,5000,5000,unit,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
,,,,,,,,,,,,,input,input,tenaga kerja,tebas,Rp/HOK,60000,60000,hok,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,bakar,Rp/HOK,60000,60000,hok,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Pembuatan parit cacing,Rp/HOK,60000,60000,hok,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Pemeliharaan parit cacing,Rp/HOK,60000,60000,hok,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,input,input,tenaga kerja,Penanaman ,Rp/HOK,60000,60000,hok,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,input,input,tenaga kerja,Penyiangan,Rp/HOK,60000,60000,hok,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
,,,,,,,,,,,,,input,input,tenaga kerja,Penyemprotan,Rp/HOK,60000,60000,hok,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
,,,,,,,,,,,,,input,input,skenario pemanenan,Pemanenan,Rp/buah,500,500,jumlah buah,0,0,0,0,0,3500,3500,3500,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
,,,,,,,,,,,,,output,output,utama,Kelapa,Rp/buah,2000,2000,Butir,0,0,0,0,0,3500,3500,3500,5000,5000,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
