no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,status crosscek (reference budget privat)
1,MONOKULTUR,COKLAT,ACEH,ACEH,2020,MINERAL,,sesuai
15,MONOKULTUR,COKLAT,KALIMANTAN TIMUR,BERAU,2019,MINERAL,,sesuai
2,MONOKULTUR,JAGUNG,ACEH,ACEH,2020,MINERAL,,sesuai
36,MONOKULTUR,JAGUNG,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,sesuai
25,MONOKULTUR,JAGUNG,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
39,MONOKULTUR,JAGUNG,SUMATERA SELATAN,OKI,2020,GAMBUT,,validasi excel done
3,MONOKULTUR,KARET,ACEH,ACEH,2020,MINERAL,,sesuai
33,MONOKULTUR,KARET,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,sesuai 
16,MONOKULTUR,KARET,KALIMANTAN TIMUR,BERAU,2019,MINERAL,,sesuai
28,MONOKULTUR,KARET,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
38,MONOKULTUR,KARET,SUMATERA SELATAN,OKI,2020,GAMBUT,,validasi excel done
8,AGROFORESTRI,KARET AF,ACEH,ACEH,2020,MINERAL,,sesuai
34,AGROFORESTRI,KARET AF,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,"sesuai, mangkok sadap kenapa 0"
29,AGROFORESTRI,KARET AF,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
43,AGROFORESTRI,KARET AF,SUMATERA SELATAN,OKI,2020,GAMBUT,,
7,AGROFORESTRI,KEBUN CAMPUR AF,ACEH,ACEH,2020,MINERAL,,sesuai
4,MONOKULTUR,KELAPA,ACEH,ACEH,2020,MINERAL,,sesuai
31,MONOKULTUR,KELAPA,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,"sesuai, tpprivat tdk sama output nyadengan social"
13,MONOKULTUR,KELAPA,KALIMANTAN TIMUR,BERAU,2019,MINERAL,,sesuai
5,MONOKULTUR,KELAPA SAWIT,ACEH,ACEH,2020,MINERAL,,sesuai
35,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,"sesuai utk npv, tp nlc dan hp belum"
14,MONOKULTUR,KELAPA SAWIT,KALIMANTAN TIMUR,BERAU,2019,MINERAL,,sesuai
26,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
42,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,OKI,2020,GAMBUT,,
41,AGROFORESTRI,KELAPA SAWIT AF,SUMATERA SELATAN,OKI,2020,GAMBUT,,validasi excel done
9,MONOKULTUR,KELAPA SAWIT LARGE SCALE,ACEH,ACEH,2020,MINERAL,,sesuai
32,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,sesuai
30,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
11,AGROFORESTRI,KOPI AF,ACEH,ACEH,2020,MINERAL,,sesuai
12,MONOKULTUR,LADA,KALIMANTAN TIMUR,BERAU,2019,MINERAL,,tidak sesuai sama npv summay
10,AGROFORESTRI,LOGGING AF,ACEH,ACEH,2020,MINERAL,,(LAHAN NYA BERBEDA DG KS)
6,MONOKULTUR,PADI,ACEH,ACEH,2020,MINERAL,,sesuai
37,MONOKULTUR,PADI,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,,"sesuai, tpdi data excel posca nya g di hitung di tabel budget"
27,MONOKULTUR,PADI,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,,
40,MONOKULTUR,PADI,SUMATERA SELATAN,OKI,2020,GAMBUT,,validasi excel done
