fid,provinsi,kecamatan,desa,kabkot
0,ACEH,TEUPAH SELATAN,PASIR TINGGI,SIMEULUE
1,ACEH,TEUPAH SELATAN,LABUHAN JAYA,SIMEULUE
2,ACEH,TEUPAH SELATAN,SEUNEUBOK,SIMEULUE
3,ACEH,TEUPAH SELATAN,BATU RALANG,SIMEULUE
4,ACEH,TEUPAH SELATAN,KEBUN BARU,SIMEULUE
5,ACEH,TEUPAH SELATAN,PULAU BENGKALAK,SIMEULUE
6,ACEH,TEUPAH SELATAN,BADEGONG,SIMEULUE
7,ACEH,TEUPAH SELATAN,ANA AO,SIMEULUE
8,ACEH,SIMEULUE TENGAH,DIHIT,SIMEULUE
9,ACEH,SIMEULUE TENGAH,SITUFA JAYA,SIMEULUE
10,ACEH,SIMEULUE TENGAH,LAKUBANG,SIMEULUE
11,ACEH,SIMEULUE TENGAH,BUBUHAN,SIMEULUE
12,ACEH,SIMEULUE TENGAH,AMARABU,SIMEULUE
13,ACEH,SIMEULUE TENGAH,KUTA PADANG,SIMEULUE
14,ACEH,SIMEULUE TENGAH,LATAK AYAH,SIMEULUE
15,ACEH,SIMEULUE TENGAH,BORENGAN,SIMEULUE
16,ACEH,SIMEULUE TENGAH,LAUREE,SIMEULUE
17,ACEH,SIMEULUE TENGAH,SUAK BARU,SIMEULUE
18,ACEH,TEUPAH SELATAN,TRANS MERANTI,SIMEULUE
19,ACEH,TEUPAH SELATAN,TRANS JERNGE,SIMEULUE
20,ACEH,SIMEULUE TENGAH,LAUKE,SIMEULUE
21,ACEH,SIMEULUE TENGAH,PUTRA JAYA,SIMEULUE
22,ACEH,SIMEULUE TENGAH,LUAN SORIP,SIMEULUE
23,ACEH,SIMEULUE TENGAH,LAMBAYA,SIMEULUE
24,ACEH,SIMEULUE TENGAH,SEBBE,SIMEULUE
25,ACEH,SIMEULUE TENGAH,LATITIK,SIMEULUE
26,ACEH,SIMEULUE TENGAH,LAMAYANG,SIMEULUE
27,ACEH,SIMEULUE TENGAH,KUTA BATU,SIMEULUE
28,ACEH,SIMEULUE TENGAH,WEL WEL,SIMEULUE
29,ACEH,SIMEULUE TENGAH,WEL LANGKOM,SIMEULUE
30,ACEH,SIMEULUE TENGAH,KUTA INANG,SIMEULUE
31,ACEH,SIMEULUE TENGAH,SIBULUH,SIMEULUE
